"행정구역별","산업별","대표자연령대",2012,2013,2014,2015,2016,2017,2018,2019,2020
"전국","도매 및 소매업(45~47)","40~49세",302840,323114,323329,312301,312663,309054,308915,299415,290061
"전국","도매 및 소매업(45~47)","50~59세",289245,318321,324937,329947,328331,328232,330547,330719,338140
"전국","도매 및 소매업(45~47)","60세 이상",161472,162623,176647,197588,193152,204204,215788,232310,250034
"전국","운수 및 창고업(49~52)","계",364349,371628,379044,379388,385968,386919,400282,409288,420889
"전국","운수 및 창고업(49~52)","29세 이하",2175,2100,2442,2412,1941,2111,5441,4146,5235
"전국","운수 및 창고업(49~52)","30~39세",20561,30027,23752,26622,20748,19502,33236,63552,27369
"전국","운수 및 창고업(49~52)","40~49세",68473,78318,72922,69891,62354,62790,63163,65945,66827
"전국","운수 및 창고업(49~52)","50~59세",174074,146892,151582,146629,137075,135434,130856,139896,124632
"전국","운수 및 창고업(49~52)","60세 이상",99066,114291,128346,133834,163850,167082,167586,135749,196826
"전국","숙박 및 음식점업(55~56)","계",673064,685669,702596,710248,729175,747577,766315,785706,829555
"전국","숙박 및 음식점업(55~56)","29세 이하",25351,21636,27212,28520,31308,35546,35102,36707,50439
"전국","숙박 및 음식점업(55~56)","30~39세",111740,83289,95810,110637,119158,124595,127179,124867,139490
"전국","숙박 및 음식점업(55~56)","40~49세",206380,181906,186190,192489,196432,197916,200231,201928,200797
"전국","숙박 및 음식점업(55~56)","50~59세",234554,304284,286961,254271,256517,252072,254943,248529,256832
"전국","숙박 및 음식점업(55~56)","60세 이상",95039,94554,106423,124331,125760,137448,148860,173675,181997
"전국","정보통신업(58~63)","계",33779,35290,40304,42425,42539,42887,43888,45303,49435
"전국","정보통신업(58~63)","29세 이하",611,514,930,834,973,1108,1200,1423,2331
"전국","정보통신업(58~63)","30~39세",7189,5322,6951,6916,7018,6997,6387,6304,7773
"전국","정보통신업(58~63)","40~49세",13383,16178,17225,17485,17316,17322,17770,16697,17151
"전국","정보통신업(58~63)","50~59세",9780,10497,11727,13139,13176,13400,13738,15384,16084
"전국","정보통신업(58~63)","60세 이상",2816,2779,3471,4051,4056,4060,4793,5495,6096
"전국","금융 및 보험업(64~66)","계",41799,41609,41969,42192,42809,43514,43568,43555,43242
"전국","금융 및 보험업(64~66)","29세 이하",390,315,425,268,325,379,358,396,517
"전국","금융 및 보험업(64~66)","30~39세",3954,3401,3626,2946,3229,3423,3255,3062,2994
"전국","금융 및 보험업(64~66)","40~49세",14788,13983,13253,11545,11595,11993,12342,12493,10110
"전국","금융 및 보험업(64~66)","50~59세",16183,17596,17958,20182,20710,20951,20123,21435,19467
"전국","금융 및 보험업(64~66)","60세 이상",6484,6314,6707,7251,6950,6768,7490,6169,10154
"전국","부동산업(68)","계",119049,119832,127228,131079,143461,152083,160152,168481,177046
"전국","부동산업(68)","29세 이하",738,667,876,777,961,1233,1431,1467,2076
"전국","부동산업(68)","30~39세",9240,6778,7442,7305,8458,8912,10661,9679,11618
"전국","부동산업(68)","40~49세",36772,31792,33981,33889,36887,36153,37347,41369,38468
"전국","부동산업(68)","50~59세",43769,52100,52410,51437,56416,60213,61722,64658,65495
"전국","부동산업(68)","60세 이상",28530,28495,32519,37671,40739,45572,48991,51308,59389
"전국","전문, 과학 및 기술 서비스업(70~73)","계",84260,87868,96865,102866,103223,104252,112302,118129,129778
"전국","전문, 과학 및 기술 서비스업(70~73)","29세 이하",776,735,1211,1238,1398,1480,1669,2011,3357
"전국","전문, 과학 및 기술 서비스업(70~73)","30~39세",14286,10950,13180,13948,14616,14686,17086,14719,18345
"전국","전문, 과학 및 기술 서비스업(70~73)","40~49세",29786,32861,34863,35721,35428,35194,35788,37540,40034
"전국","전문, 과학 및 기술 서비스업(70~73)","50~59세",25534,28909,31256,33181,33174,33576,35490,37631,39430
"전국","전문, 과학 및 기술 서비스업(70~73)","60세 이상",13878,14413,16355,18778,18607,19316,22269,26228,28612
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","계",56639,59755,65603,66668,67237,68177,70542,73282,77568
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","29세 이하",1008,924,1265,1113,1298,1398,1364,1543,2422
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","30~39세",9878,8025,9381,8989,9329,9114,8714,8585,10208
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","40~49세",20053,20592,22230,21608,21539,21598,22652,22416,21892
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","50~59세",17746,22071,23022,23420,23604,23939,24690,26165,26952
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","60세 이상",7954,8143,9705,11538,11467,12128,13122,14573,16094
"전국","공공행정, 국방 및 사회보장 행정(84)","계",11939,12027,12057,12364,12454,12488,12521,12570,12385
"전국","공공행정, 국방 및 사회보장 행정(84)","29세 이하",12,8,10,6,5,8,10,11,6
"전국","공공행정, 국방 및 사회보장 행정(84)","30~39세",208,167,161,149,144,149,145,121,129
"전국","공공행정, 국방 및 사회보장 행정(84)","40~49세",1868,1762,1806,1416,1222,1153,1418,1716,1188
"전국","공공행정, 국방 및 사회보장 행정(84)","50~59세",9278,9358,9219,9471,9854,9995,10036,10195,10137
"전국","공공행정, 국방 및 사회보장 행정(84)","60세 이상",573,732,861,1322,1229,1183,912,527,925
"전국","교육 서비스업(85)","계",172289,173740,175606,175800,180595,185275,189800,193790,191529
"전국","교육 서비스업(85)","29세 이하",5642,5235,5630,5361,6078,6618,5597,5474,6860
"전국","교육 서비스업(85)","30~39세",49951,40115,39629,40917,43010,42756,41942,37558,38984
"전국","교육 서비스업(85)","40~49세",66150,75917,74367,68682,70024,71391,73651,73281,69324
"전국","교육 서비스업(85)","50~59세",37191,38015,40529,43913,45203,48645,52189,59982,56090
"전국","교육 서비스업(85)","60세 이상",13355,14458,15451,16927,16280,15865,16421,17495,20271
"전국","보건업 및 사회복지 서비스업(86~87)","계",122764,127925,134208,132553,141372,145909,147452,150659,149351
"전국","보건업 및 사회복지 서비스업(86~87)","29세 이하",850,948,1042,719,866,957,883,1002,1167
"전국","보건업 및 사회복지 서비스업(86~87)","30~39세",23748,19643,19515,17991,19045,19917,14645,13482,14089
"전국","보건업 및 사회복지 서비스업(86~87)","40~49세",52609,55607,55373,50521,52603,54058,53245,48293,44150
"전국","보건업 및 사회복지 서비스업(86~87)","50~59세",32623,38230,42697,45266,49069,50567,55774,60000,58577
"전국","보건업 및 사회복지 서비스업(86~87)","60세 이상",12934,13497,15581,18056,19789,20410,22905,27882,31368
"전국","예술, 스포츠 및 여가관련 서비스업(90~91)","계",104597,104222,103977,101055,110230,118797,121639,124621,123249
"전국","예술, 스포츠 및 여가관련 서비스업(90~91)","29세 이하",3498,3060,3446,3120,3906,4599,4172,4090,4979
"전국","예술, 스포츠 및 여가관련 서비스업(90~91)","30~39세",21640,19474,18685,17249,19830,21863,22332,20493,21043
"전국","예술, 스포츠 및 여가관련 서비스업(90~91)","40~49세",33618,31402,30497,29080,31454,32837,33872,34381,32391
"전국","예술, 스포츠 및 여가관련 서비스업(90~91)","50~59세",33746,38312,37849,35686,38222,39738,40299,40619,39476
"전국","예술, 스포츠 및 여가관련 서비스업(90~91)","60세 이상",12095,11974,13500,15920,16818,19760,20964,25038,25360
"전국","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","계",383109,385672,385644,384748,389854,400850,410246,416943,423398
"전국","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","29세 이하",6177,5698,6446,6490,7966,9077,9561,10465,14365
"전국","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","30~39세",54973,44472,43363,43915,47831,47436,49912,45533,50310
"전국","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","40~49세",114076,118145,114009,106724,107772,106221,109432,127625,117704
"전국","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","50~59세",134357,140241,137553,133772,131657,134649,134705,136913,133996
"전국","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","60세 이상",73526,77116,84273,93847,94628,103467,106636,96407,107023
"서울","전체 산업","계",780887,785094,812798,820658,820156,822863,823385,823624,848552
"서울","전체 산업","29세 이하",14161,12550,16196,16331,17879,19446,18964,19734,26936
"서울","전체 산업","30~39세",115452,92331,101788,109270,112023,112751,112155,116841,114491
"서울","전체 산업","40~49세",230102,235918,234485,225705,223127,223179,217673,217424,208101
"서울","전체 산업","50~59세",273546,290465,290821,282411,275356,270348,266674,271016,261471
"서울","전체 산업","60세 이상",147626,153830,169508,186941,191771,197139,207919,198609,237553
"서울","농업, 임업 및 어업(01~03)","계",21,21,18,17,25,29,30,24,64
"서울","농업, 임업 및 어업(01~03)","29세 이하",-,-,1,-,-,-,-,-,-
"서울","농업, 임업 및 어업(01~03)","30~39세",1,1,-,3,5,5,5,4,4
"서울","농업, 임업 및 어업(01~03)","40~49세",4,2,5,4,6,10,10,5,11
"서울","농업, 임업 및 어업(01~03)","50~59세",6,13,9,7,9,7,7,5,23
"서울","농업, 임업 및 어업(01~03)","60세 이상",10,5,3,3,5,7,8,10,26
"서울","광업(05~08)","계",30,19,27,23,22,21,24,20,11
"서울","광업(05~08)","29세 이하",-,-,-,-,-,-,1,1,-
"서울","광업(05~08)","30~39세",-,-,-,1,1,1,1,1,1
"서울","광업(05~08)","40~49세",7,4,3,2,-,1,3,4,2
"서울","광업(05~08)","50~59세",10,6,5,7,6,6,5,5,3
"서울","광업(05~08)","60세 이상",13,9,19,13,15,13,14,9,5
"서울","제조업(10~34)","계",59870,59263,61652,63389,62150,61583,58970,57321,58865
"서울","제조업(10~34)","29세 이하",550,499,678,763,809,870,810,842,1341
"서울","제조업(10~34)","30~39세",5222,3858,4397,4646,4767,4728,4276,4073,4743
"서울","제조업(10~34)","40~49세",20852,18762,18743,17976,17688,17347,14708,12695,12075
"서울","제조업(10~34)","50~59세",24212,26738,27296,27666,27117,26596,25717,24550,23844
"서울","제조업(10~34)","60세 이상",9034,9406,10538,12338,11769,12042,13459,15161,16862
"서울","전기, 가스, 증기 및 공기조절 공급업(35)","계",97,101,114,117,119,139,183,225,212
"서울","전기, 가스, 증기 및 공기조절 공급업(35)","29세 이하",1,-,-,1,-,1,-,3,4
"서울","전기, 가스, 증기 및 공기조절 공급업(35)","30~39세",3,3,3,5,4,7,12,8,7
"서울","전기, 가스, 증기 및 공기조절 공급업(35)","40~49세",18,11,21,14,16,25,43,60,46
"서울","전기, 가스, 증기 및 공기조절 공급업(35)","50~59세",44,57,59,58,64,69,80,109,87
"서울","전기, 가스, 증기 및 공기조절 공급업(35)","60세 이상",31,30,31,39,35,37,48,45,68
"서울","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","계",462,470,490,486,453,445,451,475,498
"서울","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","29세 이하",3,2,2,6,5,4,2,2,6
"서울","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","30~39세",29,24,23,16,23,18,20,22,25
"서울","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","40~49세",102,74,93,85,80,82,75,98,90
"서울","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","50~59세",201,236,210,204,191,194,192,191,202
"서울","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","60세 이상",127,134,162,175,154,147,162,162,175
"서울","건설업(41~42)","계",21177,21411,22367,22695,22474,22228,21825,21626,22878
"서울","건설업(41~42)","29세 이하",137,121,192,197,227,276,279,280,395
"서울","건설업(41~42)","30~39세",1888,1281,1515,1665,1673,1675,1364,1297,1563
"서울","건설업(41~42)","40~49세",6622,6719,6730,6403,6418,6483,5731,5572,5388
"서울","건설업(41~42)","50~59세",8969,9595,9597,9417,9276,9149,8784,8225,8417
"서울","건설업(41~42)","60세 이상",3561,3695,4333,5013,4880,4645,5667,6252,7115
"서울","도매 및 소매업(45~47)","계",225346,225877,232616,234501,230451,228295,223955,220055,226571
"서울","도매 및 소매업(45~47)","29세 이하",4834,4392,5495,5375,5749,6015,5587,6336,7843
"서울","도매 및 소매업(45~47)","30~39세",39399,31411,34590,36325,37318,36257,33441,31132,34089
"서울","도매 및 소매업(45~47)","40~49세",70381,75045,73262,69311,68328,67588,65476,61737,59979
"서울","도매 및 소매업(45~47)","50~59세",71911,76039,76697,76411,74664,72401,70417,67546,68769
"서울","도매 및 소매업(45~47)","60세 이상",38821,38990,42572,47079,44392,46034,49034,53304,55891
"서울","운수 및 창고업(49~52)","계",92285,93415,95147,93635,94843,93702,95412,94759,95554
"서울","운수 및 창고업(49~52)","29세 이하",366,392,501,446,300,324,1056,616,639
"서울","운수 및 창고업(49~52)","30~39세",3285,5391,4278,5436,3250,3252,6227,18140,4154
"서울","운수 및 창고업(49~52)","40~49세",13030,15425,14219,13271,11153,11053,11044,12944,10920
"서울","운수 및 창고업(49~52)","50~59세",43241,34434,35715,33935,29874,28876,27987,35761,25004
"서울","운수 및 창고업(49~52)","60세 이상",32363,37773,40434,40547,50266,50197,49098,27298,54837
"서울","숙박 및 음식점업(55~56)","계",122338,123651,126542,126779,128199,130195,130595,132475,138253
"서울","숙박 및 음식점업(55~56)","29세 이하",4412,3731,4907,5123,5671,6275,5658,5802,8205
"서울","숙박 및 음식점업(55~56)","30~39세",23036,17225,20266,23550,25170,26174,26156,25429,28028
"서울","숙박 및 음식점업(55~56)","40~49세",35613,31756,32473,33595,34043,35063,34976,35485,34662
"서울","숙박 및 음식점업(55~56)","50~59세",41548,53495,49405,42004,41806,40320,39430,37609,38552
"서울","숙박 및 음식점업(55~56)","60세 이상",17729,17444,19491,22507,21509,22363,24375,28150,28806
"서울","정보통신업(58~63)","계",18515,19153,22496,23903,23397,23206,23384,23356,25273
"서울","정보통신업(58~63)","29세 이하",295,225,475,484,526,639,621,669,1106
"서울","정보통신업(58~63)","30~39세",4226,3029,4026,4113,4058,4022,3551,3409,4203
"서울","정보통신업(58~63)","40~49세",7701,9310,10110,10258,9972,9802,9787,8876,8944
"서울","정보통신업(58~63)","50~59세",4754,5054,5952,6801,6639,6605,6844,7512,7812
"서울","정보통신업(58~63)","60세 이상",1539,1535,1933,2247,2202,2138,2581,2890,3208
"서울","금융 및 보험업(64~66)","계",10369,10218,10642,10891,11010,11165,11220,11444,11726
"서울","금융 및 보험업(64~66)","29세 이하",81,56,108,98,142,152,136,148,267
"서울","금융 및 보험업(64~66)","30~39세",874,634,841,712,850,962,936,960,1101
"서울","금융 및 보험업(64~66)","40~49세",3649,3341,3187,2760,2794,2965,3138,3261,2995
"서울","금융 및 보험업(64~66)","50~59세",4389,4848,4999,5528,5477,5424,5147,5336,5218
"서울","금융 및 보험업(64~66)","60세 이상",1376,1339,1507,1793,1747,1662,1863,1739,2145
"서울","부동산업(68)","계",32974,32431,34350,35875,38378,39677,41282,43611,44812
"서울","부동산업(68)","29세 이하",176,143,211,197,236,312,392,414,586
"서울","부동산업(68)","30~39세",2447,1748,1987,1898,2140,2336,2798,2604,2978
"서울","부동산업(68)","40~49세",8437,6881,7390,7468,8048,7804,7879,9366,8314
"서울","부동산업(68)","50~59세",12301,14244,13960,13328,14189,14343,14406,14648,14738
"서울","부동산업(68)","60세 이상",9613,9415,10802,12984,13765,14882,15807,16579,18196
"서울","전문, 과학 및 기술 서비스업(70~73)","계",32724,33543,37727,40626,39226,38937,41654,42782,47817
"서울","전문, 과학 및 기술 서비스업(70~73)","29세 이하",271,261,488,538,555,578,674,770,1287
"서울","전문, 과학 및 기술 서비스업(70~73)","30~39세",5792,4292,5594,6106,6249,6277,7349,6044,7702
"서울","전문, 과학 및 기술 서비스업(70~73)","40~49세",11526,12938,13851,14274,13716,13505,13414,13888,15108
"서울","전문, 과학 및 기술 서비스업(70~73)","50~59세",9381,10239,11168,12113,11538,11406,11980,12844,13591
"서울","전문, 과학 및 기술 서비스업(70~73)","60세 이상",5754,5813,6626,7595,7168,7171,8237,9236,10129
"서울","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","계",14589,14945,16473,16637,16007,15950,16198,16354,17119
"서울","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","29세 이하",191,186,271,245,250,283,270,332,513
"서울","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","30~39세",2385,1841,2315,2294,2284,2242,2067,1977,2367
"서울","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","40~49세",5194,5376,5740,5490,5216,5245,5320,5076,4867
"서울","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","50~59세",4679,5359,5618,5695,5483,5393,5506,5575,5713
"서울","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","60세 이상",2140,2183,2529,2913,2774,2787,3035,3394,3659
"서울","공공행정, 국방 및 사회보장 행정(84)","계",1293,1275,1258,1285,1292,1296,1282,1296,1275
"서울","공공행정, 국방 및 사회보장 행정(84)","29세 이하",3,-,2,1,1,2,3,2,1
"서울","공공행정, 국방 및 사회보장 행정(84)","30~39세",9,6,7,6,6,11,9,6,7
"서울","공공행정, 국방 및 사회보장 행정(84)","40~49세",136,111,133,113,105,100,159,213,142
"서울","공공행정, 국방 및 사회보장 행정(84)","50~59세",1055,1055,1004,1004,1036,1048,999,1012,1027
"서울","공공행정, 국방 및 사회보장 행정(84)","60세 이상",90,103,112,161,144,135,112,63,98
"서울","교육 서비스업(85)","계",31878,32318,33349,33618,34074,34762,35377,35761,35347
"서울","교육 서비스업(85)","29세 이하",921,842,948,945,1052,1063,963,955,1270
"서울","교육 서비스업(85)","30~39세",8613,6703,7043,7580,7990,7950,7897,7042,7469
"서울","교육 서비스업(85)","40~49세",11996,14183,13967,12643,12802,13116,13179,12878,12059
"서울","교육 서비스업(85)","50~59세",7526,7651,8158,8839,8721,9182,9629,10870,10268
"서울","교육 서비스업(85)","60세 이상",2822,2939,3233,3611,3509,3451,3709,4016,4281
"서울","보건업 및 사회복지 서비스업(86~87)","계",24495,25349,26683,26528,27828,28683,28824,29168,29201
"서울","보건업 및 사회복지 서비스업(86~87)","29세 이하",98,100,131,85,124,137,93,79,97
"서울","보건업 및 사회복지 서비스업(86~87)","30~39세",4325,3438,3507,3275,3619,3797,2777,2606,2920
"서울","보건업 및 사회복지 서비스업(86~87)","40~49세",9823,10590,10530,9718,10094,10406,10115,9258,8686
"서울","보건업 및 사회복지 서비스업(86~87)","50~59세",6744,7619,8469,8839,9210,9437,10267,10736,10559
"서울","보건업 및 사회복지 서비스업(86~87)","60세 이상",3505,3602,4046,4611,4781,4906,5572,6489,6939
"서울","예술, 스포츠 및 여가관련 서비스업(90~91)","계",21551,21118,20941,20539,21540,22913,23025,23527,23235
"서울","예술, 스포츠 및 여가관련 서비스업(90~91)","29세 이하",626,539,610,568,718,828,774,742,914
"서울","예술, 스포츠 및 여가관련 서비스업(90~91)","30~39세",4488,3913,3886,3780,4159,4573,4551,4242,4450
"서울","예술, 스포츠 및 여가관련 서비스업(90~91)","40~49세",6336,6065,5802,5577,5849,6176,6225,6387,6004
"서울","예술, 스포츠 및 여가관련 서비스업(90~91)","50~59세",7010,7610,7365,6812,7019,7053,6954,6927,6736
"서울","예술, 스포츠 및 여가관련 서비스업(90~91)","60세 이상",3091,2991,3278,3802,3795,4283,4521,5229,5131
"서울","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","계",70873,70516,69906,69114,68668,69637,69694,69345,69841
"서울","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","29세 이하",1196,1061,1176,1259,1514,1687,1645,1741,2462
"서울","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","30~39세",9430,7533,7510,7859,8457,8464,8718,7845,8680
"서울","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","40~49세",18675,19325,18226,16743,16799,16408,16391,19621,17809
"서울","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","50~59세",25565,26173,25135,23743,23037,22839,22323,21555,20908
"서울","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","60세 이상",16007,16424,17859,19510,18861,20239,20617,18583,19982
"부산","전체 산업","계",270058,271983,277713,278850,283554,286571,288860,290357,298386
"부산","전체 산업","29세 이하",5112,4990,5744,5425,6155,7098,6931,7046,9320
"부산","전체 산업","30~39세",35480,30193,32154,33664,35208,35977,35383,33906,36387
"부산","전체 산업","40~49세",73043,72465,72762,70073,71006,71539,71622,77028,71944
"부산","전체 산업","50~59세",97153,102861,100955,97481,96612,95484,94834,92687,92301
"부산","전체 산업","60세 이상",59270,61474,66098,72207,74573,76473,80090,79690,88434
"부산","농업, 임업 및 어업(01~03)","계",87,86,86,80,77,79,82,85,102
"부산","농업, 임업 및 어업(01~03)","29세 이하",-,-,-,3,3,2,-,-,-
"부산","농업, 임업 및 어업(01~03)","30~39세",5,5,4,2,2,2,3,2,4
"부산","농업, 임업 및 어업(01~03)","40~49세",18,17,12,11,10,12,14,18,22
"부산","농업, 임업 및 어업(01~03)","50~59세",39,38,40,36,32,33,24,31,32
"부산","농업, 임업 및 어업(01~03)","60세 이상",25,26,30,28,30,30,41,34,44
"부산","광업(05~08)","계",11,13,16,12,15,18,18,17,15
"부산","광업(05~08)","29세 이하",1,-,-,-,-,-,1,1,-
"부산","광업(05~08)","30~39세",-,-,-,-,1,1,1,1,1
"부산","광업(05~08)","40~49세",3,4,5,1,3,4,4,3,1
"부산","광업(05~08)","50~59세",3,7,7,5,5,6,6,7,6
"부산","광업(05~08)","60세 이상",4,2,4,6,6,7,6,5,7
"부산","제조업(10~34)","계",28851,29123,30369,31458,31277,31012,30656,30630,31199
"부산","제조업(10~34)","29세 이하",281,261,345,329,359,439,370,415,554
"부산","제조업(10~34)","30~39세",2291,1908,2145,2357,2451,2447,2228,2124,2414
"부산","제조업(10~34)","40~49세",8232,7410,7470,7442,7241,7211,6592,6627,6210
"부산","제조업(10~34)","50~59세",12484,13615,13758,13676,13537,12956,12816,12170,11406
"부산","제조업(10~34)","60세 이상",5563,5929,6651,7654,7689,7959,8650,9294,10615
"부산","전기, 가스, 증기 및 공기조절 공급업(35)","계",32,33,34,37,41,49,61,85,87
"부산","전기, 가스, 증기 및 공기조절 공급업(35)","29세 이하",-,-,-,-,-,2,3,3,2
"부산","전기, 가스, 증기 및 공기조절 공급업(35)","30~39세",-,-,-,-,-,-,2,4,10
"부산","전기, 가스, 증기 및 공기조절 공급업(35)","40~49세",7,7,6,4,6,7,8,18,12
"부산","전기, 가스, 증기 및 공기조절 공급업(35)","50~59세",19,19,18,19,23,28,33,38,26
"부산","전기, 가스, 증기 및 공기조절 공급업(35)","60세 이상",6,7,10,14,12,12,15,22,37
"부산","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","계",402,420,444,438,443,431,447,467,463
"부산","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","29세 이하",2,1,4,-,3,4,7,6,7
"부산","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","30~39세",32,30,36,42,43,34,31,30,38
"부산","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","40~49세",84,92,96,83,79,83,94,98,87
"부산","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","50~59세",184,208,194,190,193,182,185,188,182
"부산","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","60세 이상",100,89,114,123,125,128,130,145,149
"부산","건설업(41~42)","계",7103,7351,7962,8245,8692,8819,9003,9043,9580
