행정구역별,산업별,대표자성별,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년
전국,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",여자,505,548,569,626,675,774,912,1012,1213,1315,1326,1390,1516,1607,1670
전국,건설업(41~42),계,94297,97535,97198,97391,98859,106059,111181,118767,129667,133797,137220,138478,142840,146293,158401
전국,건설업(41~42),남자,84934,87278,86279,85693,85797,91258,95060,100520,108107,110314,112614,113017,115489,117387,125380
전국,건설업(41~42),여자,9363,10257,10919,11698,13062,14801,16121,18247,21560,23483,24606,25461,27351,28906,33021
전국,도매 및 소매업(45~47),계,860547,864543,856901,858619,873632,901399,939357,957058,993971,1015117,1017340,1022739,1027109,1028323,1064434
전국,도매 및 소매업(45~47),남자,525687,525209,517863,516649,523085,536012,555127,562558,587342,600360,599707,601520,601495,603098,629883
전국,도매 및 소매업(45~47),여자,334860,339334,339038,341970,350547,365387,384230,394500,406629,414757,417633,421219,425614,425225,434551
전국,운수 및 창고업(49~52),계,340013,338825,340550,343986,347289,354142,364349,371628,379044,379388,385968,386919,400282,409288,420889
전국,운수 및 창고업(49~52),남자,327194,325500,326304,328725,333360,336689,344345,350650,355250,355532,361231,361376,373243,380369,389516
전국,운수 및 창고업(49~52),여자,12819,13325,14246,15261,13929,17453,20004,20978,23794,23856,24737,25543,27039,28919,31373
전국,숙박 및 음식점업(55~56),계,624450,627039,624605,628624,636278,654892,673064,685669,702596,710248,729175,747577,766315,785706,829555
전국,숙박 및 음식점업(55~56),남자,206554,209069,210674,215104,222797,231624,240781,249025,260529,268831,279036,289525,302073,315323,343952
전국,숙박 및 음식점업(55~56),여자,417896,417970,413931,413520,413481,423268,432283,436644,442067,441417,450139,458052,464242,470383,485603
전국,정보통신업(58~63),계,23826,24271,23787,24306,26299,29902,33779,35290,40304,42425,42539,42887,43888,45303,49435
전국,정보통신업(58~63),남자,20554,20962,20494,20896,22546,25513,28644,29722,33722,35398,35325,35428,36056,36894,39878
전국,정보통신업(58~63),여자,3272,3309,3293,3410,3753,4389,5135,5568,6582,7027,7214,7459,7832,8409,9557
전국,금융 및 보험업(64~66),계,35572,36996,37576,38408,39485,40814,41799,41609,41969,42192,42809,43514,43568,43555,43242
전국,금융 및 보험업(64~66),남자,32157,33239,33566,34086,34965,35941,36296,35909,35960,36240,36292,36363,36008,35626,35576
전국,금융 및 보험업(64~66),여자,3415,3757,4010,4322,4520,4873,5503,5700,6009,5952,6517,7151,7560,7929,7666
전국,부동산업(68),계,106075,110768,112817,114083,114006,117682,119049,119832,127228,131079,143461,152083,160152,168481,177046
전국,부동산업(68),남자,79054,81475,81276,80713,79205,80798,81054,80746,84967,86493,93325,97726,101703,107062,110807
전국,부동산업(68),여자,27021,29293,31541,33370,34801,36884,37995,39086,42261,44586,50136,54357,58449,61419,66239
전국,"전문, 과학 및 기술 서비스업(70~73)",계,62506,64975,66517,67721,70372,76792,84260,87868,96865,102866,103223,104252,112302,118129,129778
전국,"전문, 과학 및 기술 서비스업(70~73)",남자,56521,58616,59791,60525,62506,67770,73609,76517,83538,88173,88163,88636,94618,98201,105937
전국,"전문, 과학 및 기술 서비스업(70~73)",여자,5985,6359,6726,7196,7866,9022,10651,11351,13327,14693,15060,15616,17684,19928,23841
전국,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",계,45740,46321,45650,46231,48268,52823,56639,59755,65603,66668,67237,68177,70542,73282,77568
전국,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",남자,32659,33404,33076,33725,35397,38803,41468,43448,47508,48164,48140,48566,49964,51525,54445
전국,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",여자,13081,12917,12574,12506,12871,14020,15171,16307,18095,18504,19097,19611,20578,21757,23123
전국,"공공행정, 국방 및 사회보장 행정(84)",계,12266,12044,11755,11665,11869,11903,11939,12027,12057,12364,12454,12488,12521,12570,12385
전국,"공공행정, 국방 및 사회보장 행정(84)",남자,11988,11717,11403,11263,11394,11374,11374,11441,11383,11589,11614,11584,11471,11370,11212
전국,"공공행정, 국방 및 사회보장 행정(84)",여자,278,327,352,402,475,529,565,586,674,775,840,904,1050,1200,1173
전국,교육 서비스업(85),계,150024,156164,160277,162601,166527,170575,172289,173740,175606,175800,180595,185275,189800,193790,191529
전국,교육 서비스업(85),남자,71240,73440,74509,75163,77766,79220,79997,80399,80875,80284,80762,82215,82558,82756,81405
전국,교육 서비스업(85),여자,78784,82724,85768,87438,88761,91355,92292,93341,94731,95516,99833,103060,107242,111034,110124
전국,보건업 및 사회복지 서비스업(86~87),계,83323,88452,94456,99899,108081,114578,122764,127925,134208,132553,141372,145909,147452,150659,149351
전국,보건업 및 사회복지 서비스업(86~87),남자,52769,54873,57226,59612,62621,65025,67531,70023,72367,73361,77014,78730,79586,81755,84145
전국,보건업 및 사회복지 서비스업(86~87),여자,30554,33579,37230,40287,45460,49553,55233,57902,61841,59192,64358,67179,67866,68904,65206
전국,"예술, 스포츠 및 여가관련 서비스업(90~91)",계,97527,98059,100134,101955,101745,103675,104597,104222,103977,101055,110230,118797,121639,124621,123249
전국,"예술, 스포츠 및 여가관련 서비스업(90~91)",남자,58355,58416,59646,60347,59841,60743,60529,59699,59401,57332,62646,67570,68940,70752,70504
전국,"예술, 스포츠 및 여가관련 서비스업(90~91)",여자,39172,39643,40488,41608,41904,42932,44068,44523,44576,43723,47584,51227,52699,53869,52745
전국,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",계,345126,351270,354341,358751,364889,371792,383109,385672,385644,384748,389854,400850,410246,416943,423398
전국,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",남자,207647,209439,209330,209077,210127,211611,217160,216023,214371,211775,209935,211168,213084,213771,214520
전국,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",여자,137479,141831,145011,149674,154762,160181,165949,169649,171273,172973,179919,189682,197162,203172,208878
서울,전체 산업,계,733759,728614,719687,723086,729731,752285,780887,785094,812798,820658,820156,822863,823385,823624,848552
서울,전체 산업,남자,503345,497640,489196,490148,492560,506416,523369,524753,542570,548091,545536,544711,543674,542306,559396
서울,전체 산업,여자,230414,230974,230491,232938,237171,245869,257518,260341,270228,272567,274620,278152,279711,281318,289156
서울,"농업, 임업 및 어업(01~03)",계,17,16,11,18,18,20,21,21,18,17,25,29,30,24,64
서울,"농업, 임업 및 어업(01~03)",남자,16,15,8,16,13,16,17,17,14,14,19,23,24,20,43
서울,"농업, 임업 및 어업(01~03)",여자,1,1,3,2,5,4,4,4,4,3,6,6,6,4,21
서울,광업(05~08),계,24,23,19,23,17,23,30,19,27,23,22,21,24,20,11
서울,광업(05~08),남자,23,22,19,23,16,22,29,17,25,20,19,19,23,20,11
서울,광업(05~08),여자,1,1,-,-,1,1,1,2,2,3,3,2,1,-,-
서울,제조업(10~34),계,61883,59717,56118,54852,54411,56617,59870,59263,61652,63389,62150,61583,58970,57321,58865
서울,제조업(10~34),남자,51830,49707,46427,45003,44345,45799,47983,47205,48518,49560,48223,47381,45066,43589,44009
서울,제조업(10~34),여자,10053,10010,9691,9849,10066,10818,11887,12058,13134,13829,13927,14202,13904,13732,14856
서울,"전기, 가스, 증기 및 공기조절 공급업(35)",계,125,109,97,90,89,94,97,101,114,117,119,139,183,225,212
서울,"전기, 가스, 증기 및 공기조절 공급업(35)",남자,121,106,96,89,86,91,93,97,110,112,114,131,172,200,188
서울,"전기, 가스, 증기 및 공기조절 공급업(35)",여자,4,3,1,1,3,3,4,4,4,5,5,8,11,25,24
서울,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",계,384,392,392,400,398,439,462,470,490,486,453,445,451,475,498
서울,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",남자,358,364,359,358,361,393,413,420,431,427,397,394,397,415,441
서울,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",여자,26,28,33,42,37,46,49,50,59,59,56,51,54,60,57
서울,건설업(41~42),계,20414,20602,20033,19789,19464,20546,21177,21411,22367,22695,22474,22228,21825,21626,22878
서울,건설업(41~42),남자,18871,18956,18358,18016,17539,18382,18817,18941,19491,19564,19346,19001,18528,18219,19064
서울,건설업(41~42),여자,1543,1646,1675,1773,1925,2164,2360,2470,2876,3131,3128,3227,3297,3407,3814
서울,도매 및 소매업(45~47),계,217155,213393,208835,208141,209510,215479,225346,225877,232616,234501,230451,228295,223955,220055,226571
서울,도매 및 소매업(45~47),남자,144663,141351,137526,136608,136292,139409,144584,143888,147933,148419,145871,144338,140644,137962,142723
서울,도매 및 소매업(45~47),여자,72492,72042,71309,71533,73218,76070,80762,81989,84683,86082,84580,83957,83311,82093,83848
서울,운수 및 창고업(49~52),계,93712,91295,90607,92571,92930,91819,92285,93415,95147,93635,94843,93702,95412,94759,95554
서울,운수 및 창고업(49~52),남자,90720,88335,87602,89570,90036,88683,88595,89705,90748,89210,90314,89303,90926,90194,90731
서울,운수 및 창고업(49~52),여자,2992,2960,3005,3001,2894,3136,3690,3710,4399,4425,4529,4399,4486,4565,4823
서울,숙박 및 음식점업(55~56),계,116596,115627,114166,114528,115918,119308,122338,123651,126542,126779,128199,130195,130595,132475,138253
서울,숙박 및 음식점업(55~56),남자,44232,44292,44479,45282,46945,49363,51357,52978,55413,57032,58366,60160,61469,63616,68349
서울,숙박 및 음식점업(55~56),여자,72364,71335,69687,69246,68973,69945,70981,70673,71129,69747,69833,70035,69126,68859,69904
서울,정보통신업(58~63),계,12157,12385,12141,12529,13717,16151,18515,19153,22496,23903,23397,23206,23384,23356,25273
서울,정보통신업(58~63),남자,10661,10885,10667,10995,11949,14011,15974,16424,19069,20241,19740,19475,19537,19417,20776
서울,정보통신업(58~63),여자,1496,1500,1474,1534,1768,2140,2541,2729,3427,3662,3657,3731,3847,3939,4497
서울,금융 및 보험업(64~66),계,8848,9126,9076,9285,9634,10001,10369,10218,10642,10891,11010,11165,11220,11444,11726
서울,금융 및 보험업(64~66),남자,8049,8233,8098,8259,8560,8847,9029,8855,9131,9407,9439,9411,9405,9443,9527
서울,금융 및 보험업(64~66),여자,799,893,978,1026,1074,1154,1340,1363,1511,1484,1571,1754,1815,2001,2199
서울,부동산업(68),계,31967,33149,33535,33667,32761,33117,32974,32431,34350,35875,38378,39677,41282,43611,44812
서울,부동산업(68),남자,24088,24719,24489,24149,23113,23210,22981,22406,23781,24806,26157,26794,27515,28976,29363
서울,부동산업(68),여자,7879,8430,9046,9518,9648,9907,9993,10025,10569,11069,12221,12883,13767,14635,15449
서울,"전문, 과학 및 기술 서비스업(70~73)",계,23874,24471,25036,25448,26250,29132,32724,33543,37727,40626,39226,38937,41654,42782,47817
서울,"전문, 과학 및 기술 서비스업(70~73)",남자,21530,21986,22408,22618,23108,25438,28164,28849,31960,34141,32865,32526,34557,35038,38417
서울,"전문, 과학 및 기술 서비스업(70~73)",여자,2344,2485,2628,2830,3142,3694,4560,4694,5767,6485,6361,6411,7097,7744,9400
서울,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",계,12508,12498,12070,12082,12371,13505,14589,14945,16473,16637,16007,15950,16198,16354,17119
서울,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",남자,9093,9194,8901,8965,9163,10031,10776,11009,11980,12069,11543,11448,11648,11665,12140
서울,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",여자,3415,3304,3169,3117,3208,3474,3813,3936,4493,4568,4464,4502,4550,4689,4979
서울,"공공행정, 국방 및 사회보장 행정(84)",계,1408,1317,1266,1265,1294,1319,1293,1275,1258,1285,1292,1296,1282,1296,1275
서울,"공공행정, 국방 및 사회보장 행정(84)",남자,1374,1282,1228,1219,1240,1257,1220,1201,1165,1177,1188,1176,1132,1124,1101
서울,"공공행정, 국방 및 사회보장 행정(84)",여자,34,35,38,46,54,62,73,74,93,108,104,120,150,172,174
서울,교육 서비스업(85),계,27535,28336,28936,29374,30263,31299,31878,32318,33349,33618,34074,34762,35377,35761,35347
서울,교육 서비스업(85),남자,13064,13493,13725,13891,14449,15095,15408,15521,15888,15907,15874,16187,16120,16125,15919
서울,교육 서비스업(85),여자,14471,14843,15211,15483,15814,16204,16470,16797,17461,17711,18200,18575,19257,19636,19428
서울,보건업 및 사회복지 서비스업(86~87),계,18602,19419,20261,21009,22151,23402,24495,25349,26683,26528,27828,28683,28824,29168,29201
서울,보건업 및 사회복지 서비스업(86~87),남자,12347,12833,13267,13710,14214,14859,15196,15583,15959,16147,16617,16947,16967,17225,17664
서울,보건업 및 사회복지 서비스업(86~87),여자,6255,6586,6994,7299,7937,8543,9299,9766,10724,10381,11211,11736,11857,11943,11537
서울,"예술, 스포츠 및 여가관련 서비스업(90~91)",계,21227,20923,21181,21526,21263,21443,21551,21118,20941,20539,21540,22913,23025,23527,23235
서울,"예술, 스포츠 및 여가관련 서비스업(90~91)",남자,13487,13224,13407,13514,13175,13170,13105,12662,12479,12193,12773,13611,13549,13776,13789
서울,"예술, 스포츠 및 여가관련 서비스업(90~91)",여자,7740,7699,7774,8012,8088,8273,8446,8456,8462,8346,8767,9302,9476,9751,9446
서울,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",계,65323,65816,65907,66489,67272,68571,70873,70516,69906,69114,68668,69637,69694,69345,69841
서울,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",남자,38818,38643,38132,37863,37956,38340,39628,38975,38475,37645,36671,36386,35995,35282,35141
서울,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",여자,26505,27173,27775,28626,29316,30231,31245,31541,31431,31469,31997,33251,33699,34063,34700
부산,전체 산업,계,262926,262906,258091,259973,259972,263356,270058,271983,277713,278850,283554,286571,288860,290357,298386
부산,전체 산업,남자,160219,159426,155372,156032,156601,158312,162708,163560,167522,169214,170970,171809,172692,173397,179207
부산,전체 산업,여자,102707,103480,102719,103941,103371,105044,107350,108423,110191,109636,112584,114762,116168,116960,119179
부산,"농업, 임업 및 어업(01~03)",계,94,94,87,83,83,89,87,86,86,80,77,79,82,85,102
부산,"농업, 임업 및 어업(01~03)",남자,88,89,82,73,74,79,79,78,80,73,70,73,78,77,85
부산,"농업, 임업 및 어업(01~03)",여자,6,5,5,10,9,10,8,8,6,7,7,6,4,8,17
부산,광업(05~08),계,5,5,5,7,7,11,11,13,16,12,15,18,18,17,15
부산,광업(05~08),남자,5,4,4,6,7,11,11,10,13,11,12,13,13,10,12
부산,광업(05~08),여자,-,1,1,1,-,-,-,3,3,1,3,5,5,7,3
부산,제조업(10~34),계,28021,27890,27059,26908,27006,27693,28851,29123,30369,31458,31277,31012,30656,30630,31199
부산,제조업(10~34),남자,22838,22593,21855,21635,21673,22195,23103,23270,24192,25080,24887,24542,24212,24152,24434
부산,제조업(10~34),여자,5183,5297,5204,5273,5333,5498,5748,5853,6177,6378,6390,6470,6444,6478,6765
부산,"전기, 가스, 증기 및 공기조절 공급업(35)",계,31,28,28,24,31,29,32,33,34,37,41,49,61,85,87
부산,"전기, 가스, 증기 및 공기조절 공급업(35)",남자,31,27,27,24,31,29,32,33,33,35,37,43,53,72,74
부산,"전기, 가스, 증기 및 공기조절 공급업(35)",여자,-,1,1,-,-,-,-,-,1,2,4,6,8,13,13
부산,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",계,331,331,329,336,361,377,402,420,444,438,443,431,447,467,463
부산,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",남자,304,295,293,290,311,328,344,363,381,369,374,369,377,395,392
부산,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",여자,27,36,36,46,50,49,58,57,63,69,69,62,70,72,71
부산,건설업(41~42),계,6078,6263,6007,6118,6222,6663,7103,7351,7962,8245,8692,8819,9003,9043,9580
부산,건설업(41~42),남자,5510,5650,5402,5442,5450,5798,6153,6287,6732,6898,7244,7278,7388,7388,7739
부산,건설업(41~42),여자,568,613,605,676,772,865,950,1064,1230,1347,1448,1541,1615,1655,1841
부산,도매 및 소매업(45~47),계,76019,75878,74145,74589,74381,75207,77612,77694,79697,80017,80241,80645,80557,79464,81340
부산,도매 및 소매업(45~47),남자,43432,42994,41531,41617,41621,41782,43152,42948,44234,44555,44487,44706,44531,44040,45648
부산,도매 및 소매업(45~47),여자,32587,32884,32614,32972,32760,33425,34460,34746,35463,35462,35754,35939,36026,35424,35692
부산,운수 및 창고업(49~52),계,29117,28777,28214,28174,28280,27658,28018,28110,27966,28255,27880,27227,26904,26955,28343
부산,운수 및 창고업(49~52),남자,27674,27275,26675,26576,26720,26085,26202,26223,25943,26266,25880,25249,24860,24882,25903
부산,운수 및 창고업(49~52),여자,1443,1502,1539,1598,1560,1573,1816,1887,2023,1989,2000,1978,2044,2073,2440
부산,숙박 및 음식점업(55~56),계,50150,49572,48532,48876,48194,48631,49193,49480,49768,49347,50578,51352,52240,53391,55802
부산,숙박 및 음식점업(55~56),남자,14434,14196,14021,14556,14852,15225,15776,16190,16848,17165,17899,18599,19509,20466,22279
부산,숙박 및 음식점업(55~56),여자,35716,35376,34511,34320,33342,33406,33417,33290,32920,32182,32679,32753,32731,32925,33523
부산,정보통신업(58~63),계,1222,1224,1152,1153,1180,1276,1435,1548,1658,1679,1780,1796,1892,1942,2076
부산,정보통신업(58~63),남자,1027,1042,976,976,997,1072,1191,1274,1360,1379,1465,1470,1556,1593,1682
부산,정보통신업(58~63),여자,195,182,176,177,183,204,244,274,298,300,315,326,336,349,394
부산,금융 및 보험업(64~66),계,3015,3152,3151,3275,3198,3287,3338,3267,3215,3222,3270,3301,3302,3241,3171
부산,금융 및 보험업(64~66),남자,2623,2716,2691,2783,2721,2789,2775,2703,2669,2687,2691,2676,2675,2589,2510
부산,금융 및 보험업(64~66),여자,392,436,460,492,477,498,563,564,546,535,579,625,627,652,661
부산,부동산업(68),계,6689,6817,6741,6976,7346,7782,8201,8479,9172,9422,10599,11388,11751,12303,12988
부산,부동산업(68),남자,5152,5196,5035,5050,5146,5355,5600,5728,6067,6167,6830,7197,7350,7753,8027
부산,부동산업(68),여자,1537,1621,1706,1926,2200,2427,2601,2751,3105,3255,3769,4191,4401,4550,4961
부산,"전문, 과학 및 기술 서비스업(70~73)",계,4359,4518,4456,4522,4646,4965,5460,5725,6215,6564,6729,6825,7319,7487,7981
부산,"전문, 과학 및 기술 서비스업(70~73)",남자,3925,4058,3995,4039,4154,4411,4791,5005,5381,5658,5777,5845,6218,6327,6644
부산,"전문, 과학 및 기술 서비스업(70~73)",여자,434,460,461,483,492,554,669,720,834,906,952,980,1101,1160,1337
부산,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",계,4379,4409,4296,4334,4305,4484,4647,4781,5104,5017,5208,5240,5325,5274,5411
부산,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",남자,3189,3235,3152,3217,3196,3341,3457,3533,3773,3706,3791,3796,3816,3720,3859
부산,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",여자,1190,1174,1144,1117,1109,1143,1190,1248,1331,1311,1417,1444,1509,1554,1552
부산,"공공행정, 국방 및 사회보장 행정(84)",계,721,691,646,653,656,657,663,674,672,702,704,705,708,703,691
부산,"공공행정, 국방 및 사회보장 행정(84)",남자,703,667,617,619,621,613,623,629,624,641,642,636,624,598,591
부산,"공공행정, 국방 및 사회보장 행정(84)",여자,18,24,29,34,35,44,40,45,48,61,62,69,84,105,100
부산,교육 서비스업(85),계,11033,11346,11359,11518,11587,11743,11802,11799,11817,11748,12077,12282,12549,12792,12636
부산,교육 서비스업(85),남자,5018,5152,5193,5231,5278,5366,5451,5437,5431,5369,5428,5460,5429,5363,5271
부산,교육 서비스업(85),여자,6015,6194,6166,6287,6309,6377,6351,6362,6386,6379,6649,6822,7120,7429,7365
부산,보건업 및 사회복지 서비스업(86~87),계,5939,6127,6544,6748,6994,7248,7580,7892,8204,8157,8765,9147,9246,9667,9623
부산,보건업 및 사회복지 서비스업(86~87),남자,4018,4111,4166,4246,4384,4534,4682,4864,4985,5033,5260,5411,5489,5650,5817
부산,보건업 및 사회복지 서비스업(86~87),여자,1921,2016,2378,2502,2610,2714,2898,3028,3219,3124,3505,3736,3757,4017,3806
부산,"예술, 스포츠 및 여가관련 서비스업(90~91)",계,7586,7369,7144,7113,6953,6951,6848,6672,6599,6271,6819,7228,7261,7239,7117
부산,"예술, 스포츠 및 여가관련 서비스업(90~91)",남자,4108,3979,3796,3786,3746,3767,3655,3527,3523,3304,3652,3904,3943,3963,3971
부산,"예술, 스포츠 및 여가관련 서비스업(90~91)",여자,3478,3390,3348,3327,3207,3184,3193,3145,3076,2967,3167,3324,3318,3276,3146
부산,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",계,28137,28415,28196,28566,28542,28605,28775,28836,28715,28179,28359,29027,29539,29572,29761
부산,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",남자,16140,16147,15861,15866,15619,15532,15631,15458,15253,14818,14544,14542,14571,14359,14269
부산,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",여자,11997,12268,12335,12700,12923,13073,13144,13378,13462,13361,13815,14485,14968,15213,15492
대구,전체 산업,계,180015,179904,178629,178765,183115,188300,192599,195716,198762,200069,205318,209376,210547,210944,214909
대구,전체 산업,남자,116148,115135,113503,113108,116412,118574,121166,122858,124797,126245,128394,130460,130690,130672,133587
대구,전체 산업,여자,63867,64769,65126,65657,66703,69726,71433,72858,73965,73824,76924,78916,79857,80272,81322
대구,"농업, 임업 및 어업(01~03)",계,11,11,10,9,10,8,10,13,20,22,16,15,18,22,31
대구,"농업, 임업 및 어업(01~03)",남자,11,11,9,8,9,7,8,11,16,19,15,14,15,19,25
대구,"농업, 임업 및 어업(01~03)",여자,-,-,1,1,1,1,2,2,4,3,1,1,3,3,6
대구,광업(05~08),계,9,9,7,7,3,5,10,10,11,8,9,8,6,6,7
대구,광업(05~08),남자,8,8,6,6,3,4,9,8,9,7,8,7,5,5,6
대구,광업(05~08),여자,1,1,1,1,-,1,1,2,2,1,1,1,1,1,1
대구,제조업(10~34),계,23543,23368,23004,23076,23858,24445,25603,25932,26574,27551,27511,27387,26961,26600,27088
대구,제조업(10~34),남자,19779,19539,19118,19141,19725,20096,21017,21213,21590,22452,22325,22183,21775,21416,21601
대구,제조업(10~34),여자,3764,3829,3886,3935,4133,4349,4586,4719,4984,5099,5186,5204,5186,5184,5487
대구,"전기, 가스, 증기 및 공기조절 공급업(35)",계,27,26,26,29,28,28,30,32,44,45,53,60,77,104,128
대구,"전기, 가스, 증기 및 공기조절 공급업(35)",남자,26,24,23,27,27,27,30,32,41,43,46,51,63,85,99
대구,"전기, 가스, 증기 및 공기조절 공급업(35)",여자,1,2,3,2,1,1,-,-,3,2,7,9,14,19,29
대구,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",계,229,242,228,226,230,257,285,294,321,322,332,329,341,365,362
대구,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",남자,203,212,206,199,204,223,246,253,263,261,266,255,264,288,283
대구,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",여자,26,30,22,27,26,34,39,41,58,61,66,74,77,77,79
대구,건설업(41~42),계,4874,4883,4842,4866,4903,5138,5390,5796,6196,6481,6734,6748,6795,6772,7231
대구,건설업(41~42),남자,4446,4426,4364,4355,4329,4520,4730,5037,5309,5484,5658,5623,5604,5582,5887
대구,건설업(41~42),여자,428,457,478,511,574,618,660,759,887,997,1076,1125,1191,1190,1344
대구,도매 및 소매업(45~47),계,49008,48898,48009,47835,48846,50035,51908,52688,53760,54072,55387,55729,55470,54735,55527
대구,도매 및 소매업(45~47),남자,31402,31074,30241,29951,30258,30745,31568,31739,32253,32559,32861,32848,32513,32067,32858
대구,도매 및 소매업(45~47),여자,17606,17824,17768,17884,18588,19290,20340,20949,21507,21513,22526,22881,22957,22668,22669
대구,운수 및 창고업(49~52),계,19434,18329,17900,17390,19474,20724,19349,19930,20181,19737,19704,21171,21094,21059,21090
대구,운수 및 창고업(49~52),남자,18479,17458,17046,16553,18673,18783,18241,18764,18916,18543,18521,19771,19815,19759,19684
대구,운수 및 창고업(49~52),여자,955,871,854,837,801,1941,1108,1166,1265,1194,1183,1400,1279,1300,1406
대구,숙박 및 음식점업(55~56),계,31549,31748,31402,31217,30980,31583,32223,32466,32415,32566,33787,34435,35154,35707,37259
대구,숙박 및 음식점업(55~56),남자,9763,10012,9952,10134,10374,10764,11107,11398,11670,12093,12837,13334,13963,14530,15817
대구,숙박 및 음식점업(55~56),여자,21786,21736,21450,21083,20606,20819,21116,21068,20745,20473,20950,21101,21191,21177,21442
대구,정보통신업(58~63),계,814,817,781,807,893,978,1031,1064,1173,1239,1272,1274,1254,1284,1362
대구,정보통신업(58~63),남자,698,705,684,710,782,844,879,899,998,1037,1058,1071,1037,1070,1133
대구,정보통신업(58~63),여자,116,112,97,97,111,134,152,165,175,202,214,203,217,214,229
대구,금융 및 보험업(64~66),계,1848,1919,1971,2034,2135,2173,2220,2225,2183,2186,2226,2252,2185,2176,2099
대구,금융 및 보험업(64~66),남자,1685,1746,1780,1819,1896,1927,1926,1919,1887,1902,1926,1919,1832,1837,1779
대구,금융 및 보험업(64~66),여자,163,173,191,215,239,246,294,306,296,284,300,333,353,339,320
대구,부동산업(68),계,4576,4589,4485,4429,4405,4616,4874,5092,5535,5861,6440,6827,7243,7699,8212
