code,5th,Industrial
235,광학 및 전자장비 기술종사자,"전문, 과학 및 기술 서비스업"
236,선박․항공기 조종사 및 기술종사자,"전문, 과학 및 기술 서비스업"
237,안전 및 품질검사 종사자,"전문, 과학 및 기술 서비스업"
238,기타 공학관련 기술종사자,"전문, 과학 및 기술 서비스업"
24,보건의료 준전문가,보건업 및 사회복지 서비스업
241,의료진료 준전문가,보건업 및 사회복지 서비스업
242,의료 기술종사자,"전문, 과학 및 기술 서비스업"
243,안마사 및 전통의료 치료사,보건업 및 사회복지 서비스업
25,교육 준전문가,교육 서비스업
251,대학교육 조교 및 초․중등학교 보조교사,교육 서비스업
252,정규교육이외 교육 준전문가,교육 서비스업
253,기타 교육 준전문가,교육 서비스업
26,경영 및 재정 준전문가,기타
261,금융․보험 준전문가,금융 및 보험업
262,판매 준전문가,도매 및 소매업
263,상품중개 및 사업서비스대리 종사자,"사업시설 관리, 사업 지원 및 임대 서비스업"
27,사회서비스 및 종교 준전문가,기타
271,사회서비스 준전문가,기타
272,종교 준전문가,기타
28,"예술, 연예 및 경기 준전문가","예술, 스포츠 및 여가관련 서비스업"
281,예술 및 연예관련 준전문가,"예술, 스포츠 및 여가관련 서비스업"
282,"운동, 경기 및 체력관련 준전문가","예술, 스포츠 및 여가관련 서비스업"
283,"기타 예술, 연예 및 경기 준전문가","예술, 스포츠 및 여가관련 서비스업"
29,기타 준전문가,기타
291,관리 준전문가,기타
292,"법률, 의료 및 관련 사업 준전문가",보건업 및 사회복지 서비스업
293,"관세, 조세 및 관련 정부 준전문가","공공행정, 국방 및 사회보장 행정"
3,사무 종사자,기타
31,일반사무 관련 종사자,기타
311,일반사무 종사자,기타
312,기획 및 홍보사무 종사자,기타
313,정부행정 사무 종사자,"공공행정, 국방 및 사회보장 행정"
314,판매 관련사무 종사자,도매 및 소매업
315,계수사무 종사자,기타
316,"자재, 생산 및 운송관련 사무 종사자",제조업
317,사무 지원 종사자,기타
318,"도서, 우편 및 관련 사무 종사자","공공행정, 국방 및 사회보장 행정"
32,고객서비스 사무 종사자,기타
321,대금수납 및 금전출납 사무 종사자,금융 및 보험업
322,안내 및 접수 사무 종사자,기타
323,고객 관련 사무 종사자,기타
4,서비스 종사자,기타
41,대인 서비스 관련 종사자,"협회 및 단체, 수리 및 기타 개인 서비스업"
411,개인보호 및 관련 종사자,"협회 및 단체, 수리 및 기타 개인 서비스업"
412,이․미용 및 관련 서비스 종사자,"협회 및 단체, 수리 및 기타 개인 서비스업"
413,시중서비스 종사자,"협회 및 단체, 수리 및 기타 개인 서비스업"
414,장의 및 관련 서비스 종사자,"협회 및 단체, 수리 및 기타 개인 서비스업"
415,오락 및 여가서비스 종사자,"예술, 스포츠 및 여가관련 서비스업"
416,기타 대인 서비스 관련 종사자,"협회 및 단체, 수리 및 기타 개인 서비스업"
42,조리 및 음식 서비스 종사자,숙박 및 음식점업
421,음식 조리 종사자,숙박 및 음식점업
422,음식 서비스 관련 종사자,숙박 및 음식점업
43,여행 및 운송관련 종사자,운수 및 창고업
431,운송수행 종사자,운수 및 창고업
432,여행안내 종사자,"예술, 스포츠 및 여가관련 서비스업"
44,보안 서비스 종사자,"사업시설 관리, 사업 지원 및 임대 서비스업"
441,경찰 종사자,"공공행정, 국방 및 사회보장 행정"
442,소방 및 응급구조 종사자,"공공행정, 국방 및 사회보장 행정"
443,교도 및 보도 종사자,"공공행정, 국방 및 사회보장 행정"
444,기타 보안서비스 종사자,"사업시설 관리, 사업 지원 및 임대 서비스업"
5,판매 종사자,도매 및 소매업
51,도소매 판매 종사자,도매 및 소매업
511,도매 판매 종사자,도매 및 소매업
512,소매업체 판매 종사자,도매 및 소매업
513,소매 방문판매 및 이동판매 종사자,도매 및 소매업
52,통신 판매 종사자,도매 및 소매업
521,전화통신 판매 종사자,도매 및 소매업
522,통신서비스 및 통신 재판매 종사자,도매 및 소매업
53,모델 및 홍보 종사자,기타
530,모델 및 홍보 종사자,기타
6,"농업, 임업 및 어업 숙련 종사자","농업, 임업 및 어업"
61,농업 숙련 종사자,"농업, 임업 및 어업"
611,전답작물 재배 종사자,"농업, 임업 및 어업"
612,과수작물 재배 종사자,"농업, 임업 및 어업"
613,"정원사, 육묘 및 버섯 재배 종사자","농업, 임업 및 어업"
614,복합 및 시설작물 재배 종사자,"농업, 임업 및 어업"
615,동물사육 및 관련 종사자,"농업, 임업 및 어업"
616,작물 및 동물 복합 생산자,"농업, 임업 및 어업"
617,자급농업 종사자,"농업, 임업 및 어업"
618,수렵업 종사자,"농업, 임업 및 어업"
62,임업 숙련 종사자,"농업, 임업 및 어업"
620,임업 숙련 종사자,"농업, 임업 및 어업"
63,어업 숙련 종사자,"농업, 임업 및 어업"
630,어업 숙련 종사자,"농업, 임업 및 어업"
7,기능원 및 관련 기능 종사자,기타
71,추출 및 건설 기능 종사자,건설업
711,"광원, 발파원, 석재 절단 및 조각 종사자",건설업
712,건물 골조 및 관련 기능 종사자,건설업
713,건물 완성 및 관련 기능 종사자,건설업
714,"건물 도장, 청결 및 관련 기능 종사자",건설업
72,"금속, 기계 및 관련 기능 종사자",제조업
721,"금속주형, 용접 및 관련 기능 종사자",제조업
722,"대장원, 공구제조원 및 관련 기능 종사자",제조업
73,기계설치 및 정비 기능 종사자,제조업
731,운송기계 정비 종사자,운수 및 창고업
732,농․공업용 기계설치 및 정비 종사자,제조업
733,"전기, 전자장비 설치 및 정비 종사자","전기, 가스, 증기 및 공기조절 공급업"
74,"정밀기구, 세공 및 수공예 기능 종사자",제조업
741,금속 및 관련재료 세공 종사자,제조업
742,"도공, 유리가공 및 관련 기능 종사자",제조업
743,"목재, 섬유, 가죽 및 관련재료 수공예 종사자",제조업
744,인쇄 및 관련 기능 종사자,제조업
75,기타 기능원 및 관련 기능 종사자,제조업
751,식품가공 및 관련 기능 종사자,제조업
752,"목재처리, 가구제조 및 관련 기능 종사자",제조업
753,"섬유, 의복제조 및 관련 기능 종사자",제조업
754,"펠트, 가죽신발 제조관련 기능 종사자",제조업
8,"장치, 기계조작 및 조립 종사자",제조업
81,고정기계장치 및 시스템 조작 종사자,제조업
811,채광 및 광물가공장치 조작 종사자,제조업
812,금속 가공장치 조작 종사자,제조업
813,"유리 가공장치, 도기로 및 관련장치 조작 종사자",제조업
814,목재가공 및 제지장치 조작 종사자,제조업
815,화학물 가공장치 조작 종사자,제조업
816,동력생산 및 관련장치 조작 종사자,제조업
817,자동조립라인 및 산업용 로봇 조작 종사자,제조업
82,기계 조작원 및 관련 종사자,제조업
821,금속 및 광물제품용 기계 조작 종사자,제조업
822,화학제품용 기계 조작 종사자,제조업
823,고무 및 플라스틱제품용 기계 조작 종사자,제조업
824,나무제품용 기계 조작 종사자,제조업
825,"인쇄, 제책 및 종이제품용 기계 조작 종사자",제조업
826,"섬유, 의복 제품용 기계 조작 종사자",제조업
827,식품 및 관련제품용 기계 조작 종사자,제조업
828,기호식품 및 음료 제조 기계 조작 종사자,제조업
829,기타 기계 조작 종사자,제조업
83,조립 종사자,제조업
831,일반기계 조립 종사자,제조업
832,전기 및 전자장비 조립 종사자,제조업
833,"금속, 목재 및 기타 제품 조립 종사자",제조업
84,운전원 및 관련 종사자,운수 및 창고업
841,철도 기관사 및 관련 종사자,기타
842,자동차 운전 종사자,운수 및 창고업
843,건설 및 기타 이동장치 운전 종사자,제조업
844,선박갑판 승무원 및 관련 종사자,운수 및 창고업
9,단순 노무 종사자,기타
91,서비스 관련 단순노무 종사자,기타
911,"가사 및 관련 보조원, 청소 및 세탁 종사자","사업시설 관리, 사업 지원 및 임대 서비스업"
912,"건물관리, 경비 및 관련 종사자","사업시설 관리, 사업 지원 및 임대 서비스업"
913,"배달, 운반 및 검침 관련 종사자",운수 및 창고업
914,환경미화 및 관련 종사자,기타
915,기타 서비스 관련 단순 노무 종사자,기타
92,농림어업 관련 단순 노무 종사자,"농업, 임업 및 어업"
920,농림어업 관련 단순 노무 종사자,"농업, 임업 및 어업"
93,제조 관련 단순 노무 종사자,제조업
930,제조 관련 단순 노무 종사자,제조업
94,"광업, 건설 및 운송 관련 단순 노무 종사자",광업
941,광업 및 건설 관련 단순 노무 종사자,광업
942,운수 관련 단순 노무 종사자,운수 및 창고업
98,군인,"공공행정, 국방 및 사회보장 행정"
981,장교,"공공행정, 국방 및 사회보장 행정"
982,기타 군인,"공공행정, 국방 및 사회보장 행정"
