code,7th,Industrial
762,전기공,"전기, 가스, 증기 및 공기조절 공급업"
77,정보 통신 및 방송장비 관련 기능직,정보통신업
771,정보 통신기기 설치 및 수리원,정보통신업
772,방송·통신장비 관련 설치 및 수리원,정보통신업
78,건설 및 채굴 관련 기능직,건설업
781,건설구조 관련 기능 종사자,건설업
782,건설 관련 기능 종사자,건설업
783,건축 마감 관련 기능 종사자,건설업
784,채굴 및 토목 관련 기능 종사자,건설업
79,기타 기능 관련직,기타
791,공예 및 귀금속 세공원,"전문, 과학 및 기술 서비스업"
792,배관공,기타
799,기타 기능 관련 종사자,기타
8,장치·기계 조작 및 조립 종사자,제조업
81,식품가공 관련 기계 조작직,제조업
811,식품가공 관련 기계 조작원,제조업
812,음료 제조 관련 기계 조작원,제조업
819,기타 식품가공 관련 기계 조작원,제조업
82,섬유 및 신발 관련 기계 조작직,제조업
821,섬유 제조 및 가공기계 조작원,제조업
822,직물·신발 관련 기계 조작원 및 조립원,제조업
823,세탁 관련 기계 조작원,제조업
83,화학 관련 기계 조작직,제조업
831,석유 및 화학물 가공 장치 조작원,제조업
832,화학·고무 및 플라스틱 제품 생산기 조작원,제조업
84,금속 및 비금속 관련 기계 조작직,제조업
841,주조 및 금속가공 관련 기계 조작원,제조업
842,도장 및 도금기 조작원,제조업
843,비금속제품 생산기 조작원,제조업
85,기계 제조 및 관련 기계 조작직,제조업
851,금속 공작 기계 조작원,제조업
852,냉난방 관련 설비 조작원,기타
853,자동 조립라인 및 산업용로봇 조작원,제조업
854,운송차량 및 기계 관련 조립원,제조업
855,금속기계 부품 조립원,제조업
86,전기 및 전자 관련 기계 조작직,제조업
861,발전 및 배전장치 조작원,제조업
862,전기 및 전자설비 조작원,"전기, 가스, 증기 및 공기조절 공급업"
863,전기·전자 부품 및 제품 제조 장치 조작원,제조업
864,전기·전자 부품 및 제품 조립원,제조업
87,운전 및 운송 관련직,운수 및 창고업
871,철도 및 전동차 기관사,운수 및 창고업
872,철도운송 관련 종사자,운수 및 창고업
873,자동차 운전원,운수 및 창고업
874,물품 이동 장비 조작원,운수 및 창고업
875,건설 및 채굴기계 운전원,건설업
876,선박 승무원 및 관련 종사자,운수 및 창고업
88,상하수도 및 재활용 처리 관련 기계 조작직,제조업
881,상하수도 처리 장치 조작원,제조업
882,재활용 처리 및 소각로 조작원,"수도, 하수 및 폐기물 처리, 원료 재생업"
89,목재·인쇄 및 기타 기계 조작직,제조업
891,목재 및 종이 관련 기계 조작원,제조업
892,인쇄 및 사진 현상 관련 기계 조작원,제조업
899,기타 기계 조작원,제조업
9,단순노무 종사자,기타
91,건설 및 광업 관련 단순 노무직,건설업
910,건설 및 광업 단순 종사자,건설업
92,운송 관련 단순 노무직,운수 및 창고업
921,하역 및 적재 단순 종사자,운수 및 창고업
922,배달원,운수 및 창고업
93,제조 관련 단순 노무직,제조업
930,제조 관련 단순 종사자,제조업
94,청소 및 경비 관련 단순 노무직,기타
941,청소원 및 환경미화원,기타
942,건물 관리원 및 검표원,"사업시설 관리, 사업 지원 및 임대 서비스업"
95,가사·음식 및 판매 관련 단순 노무직,도매 및 소매업
951,가사 및 육아 도우미,"협회 및 단체, 수리 및 기타 개인 서비스업"
952,음식 관련 단순 종사자,숙박 및 음식점업
953,판매 관련 단순 종사자,도매 및 소매업
99,농림·어업 및 기타 서비스 단순 노무직,"농업, 임업 및 어업"
991,농림·어업 관련 단순 종사자,"농업, 임업 및 어업"
992,계기·자판기 및 주차 관리 종사자,기타
999,기타 서비스 관련 단순 종사자,기타
98,군인,"공공행정, 국방 및 사회보장 행정"
981,장교,"공공행정, 국방 및 사회보장 행정"
982,부사관,"공공행정, 국방 및 사회보장 행정"
983,기타 군인,"공공행정, 국방 및 사회보장 행정"
