행정구역별,산업별,종사자성별,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년
전국,"예술, 스포츠 및 여가관련 서비스업(90~91)",여자,124401,128926,138032,143261,143478,151409,157398,167413,170178,174081,188608,201231,213969,222379,181550
전국,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",계,742585,764052,763475,783349,790233,815124,839925,857978,856651,894932,864817,870399,890317,907072,825474
전국,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",남자,408823,416543,418243,419922,418435,428321,439998,443696,443831,446750,447098,444481,449955,457632,425844
전국,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",여자,333762,347509,345232,363427,371798,386803,399927,414282,412820,448182,417719,425918,440362,449440,399630
서울,전체 산업,계,3894666,4005831,4079277,4177336,4487357,4498312,4541393,4585090,4739883,5108828,5079451,5119913,5210936,5226997,5044552
서울,전체 산업,남자,2296157,2356004,2387646,2431334,2631519,2619082,2610834,2606372,2679567,2887719,2847402,2848150,2878227,2885614,2797306
서울,전체 산업,여자,1598509,1649827,1691631,1746002,1855838,1879230,1930559,1978718,2060316,2221109,2232049,2271763,2332709,2341383,2247246
서울,"농업, 임업 및 어업(01~03)",계,235,258,205,297,346,383,295,413,381,491,464,469,462,426,532
서울,"농업, 임업 및 어업(01~03)",남자,186,198,162,235,265,298,222,343,299,401,387,381,384,349,387
서울,"농업, 임업 및 어업(01~03)",여자,49,60,43,62,81,85,73,70,82,90,77,88,78,77,145
서울,광업(05~08),계,242,188,175,184,153,135,120,52,74,69,58,66,81,43,58
서울,광업(05~08),남자,205,158,139,159,138,106,98,40,54,57,48,58,62,36,48
서울,광업(05~08),여자,37,30,36,25,15,29,22,12,20,12,10,8,19,7,10
서울,제조업(10~34),계,307385,297545,279250,266767,265281,268430,277232,266641,276287,293173,278773,277920,266500,265273,245843
서울,제조업(10~34),남자,189918,183855,169350,161834,158842,158455,166170,157617,163083,172371,162614,161452,154449,155915,143657
서울,제조업(10~34),여자,117467,113690,109900,104933,106439,109975,111062,109024,113204,120802,116159,116468,112051,109358,102186
서울,"전기, 가스, 증기 및 공기조절 공급업(35)",계,10084,10667,11010,10168,9738,9345,8412,9110,6351,6501,5660,5576,6083,6234,6020
서울,"전기, 가스, 증기 및 공기조절 공급업(35)",남자,8627,9260,9560,8638,8472,7863,6993,7654,5145,5352,4447,4399,4936,4904,4574
서울,"전기, 가스, 증기 및 공기조절 공급업(35)",여자,1457,1407,1450,1530,1266,1482,1419,1456,1206,1149,1213,1177,1147,1330,1446
서울,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",계,7778,8701,8530,8695,8337,8670,8160,8414,8594,8939,8649,8963,9139,9158,9309
서울,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",남자,6800,7515,7381,7373,7154,7342,6945,7263,7267,7564,7328,7636,7738,7749,7864
서울,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",여자,978,1186,1149,1322,1183,1328,1215,1151,1327,1375,1321,1327,1401,1409,1445
서울,건설업(41~42),계,246879,250593,236266,224965,381392,358751,312583,287242,283083,360192,369054,385208,379353,362785,383971
서울,건설업(41~42),남자,214581,216852,200745,191624,338146,316598,272495,247088,244020,313276,319660,333644,327286,312550,330229
서울,건설업(41~42),여자,32298,33741,35521,33341,43246,42153,40088,40154,39063,46916,49394,51564,52067,50235,53742
서울,도매 및 소매업(45~47),계,764270,769969,772774,795680,782169,793641,806212,830261,866126,912448,891402,888464,896326,899642,842008
서울,도매 및 소매업(45~47),남자,445026,450745,453207,466117,452746,456721,462684,475456,491778,513681,496540,491158,491875,496010,478158
서울,도매 및 소매업(45~47),여자,319244,319224,319567,329563,329423,336920,343528,354805,374348,398767,394862,397306,404451,403632,363850
서울,운수 및 창고업(49~52),계,229521,233067,249053,262744,265248,264363,258770,255994,259483,279879,276717,274793,272618,264181,258778
서울,운수 및 창고업(49~52),남자,202012,202506,217614,230118,233028,225682,222209,217216,218986,235609,230545,228462,226286,218899,215630
서울,운수 및 창고업(49~52),여자,27509,30561,31439,32626,32220,38681,36561,38778,40497,44270,46172,46331,46332,45282,43148
서울,숙박 및 음식점업(55~56),계,381829,390723,391062,401890,403256,416136,429913,442901,462331,480034,470397,474515,495092,493912,413361
서울,숙박 및 음식점업(55~56),남자,138729,141810,143596,150810,154335,160999,172144,178156,185952,195976,190970,193031,202019,203826,177775
서울,숙박 및 음식점업(55~56),여자,243100,248913,247466,251080,248921,255137,257769,264745,276379,284058,279427,281484,293073,290086,235586
서울,정보통신업(58~63),계,244484,255312,264431,270388,294365,301063,309083,312044,326288,350342,344870,345030,357761,360062,370430
서울,정보통신업(58~63),남자,172786,181268,187480,192969,210109,214858,216710,217317,228654,244087,238145,238472,244021,243843,248983
서울,정보통신업(58~63),여자,71698,74044,76951,77419,84256,86205,92373,94727,97634,106255,106725,106558,113740,116219,121447
서울,금융 및 보험업(64~66),계,229798,233917,244272,253272,274990,272510,267134,261195,262244,286831,273238,268252,262273,266110,263159
서울,금융 및 보험업(64~66),남자,120167,127490,128739,133858,139894,139660,137644,138813,137921,146231,141615,136278,135556,138713,135303
서울,금융 및 보험업(64~66),여자,109631,106427,115533,119414,135096,132850,129490,122382,124323,140600,131623,131974,126717,127397,127856
서울,부동산업(68),계,132046,135263,133690,136435,140776,136099,129103,128785,143929,154426,163076,158593,158063,166094,155049
서울,부동산업(68),남자,92280,92848,92698,92596,94850,92056,87181,85982,95542,103291,105778,102731,100821,106276,99117
서울,부동산업(68),여자,39766,42415,40992,43839,45926,44043,41922,42803,48387,51135,57298,55862,57242,59818,55932
서울,"전문, 과학 및 기술 서비스업(70~73)",계,277501,300796,335547,358246,375353,388952,398110,397584,419733,450909,432207,437822,463519,485150,493941
서울,"전문, 과학 및 기술 서비스업(70~73)",남자,192138,204432,226873,244793,256729,263939,267653,265111,278317,293637,277657,279908,296927,308595,305861
서울,"전문, 과학 및 기술 서비스업(70~73)",여자,85363,96364,108674,113453,118624,125013,130457,132473,141416,157272,154550,157914,166592,176555,188080
서울,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",계,276628,306077,318154,308287,360973,338945,353782,375210,394774,442059,474742,478382,496433,472573,446390
서울,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",남자,138916,154810,162778,153563,174091,167254,173441,184736,197948,220819,236602,235606,242166,237192,226724
서울,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",여자,137712,151267,155376,154724,186882,171691,180341,190474,196826,221240,238140,242776,254267,235381,219666
서울,"공공행정, 국방 및 사회보장 행정(84)",계,113726,116457,114422,131647,130289,127943,137153,134213,129765,136166,136017,138150,140121,141582,148209
서울,"공공행정, 국방 및 사회보장 행정(84)",남자,83342,85241,82097,90743,90553,89807,91518,91525,88326,89123,88847,88661,87383,87715,88012
서울,"공공행정, 국방 및 사회보장 행정(84)",여자,30384,31216,32325,40904,39736,38136,45635,42688,41439,47043,47170,49489,52738,53867,60197
서울,교육 서비스업(85),계,260139,270228,270866,282380,300593,300810,311135,315236,319723,341006,336028,341732,346219,351320,334166
서울,교육 서비스업(85),남자,109712,114162,112530,115249,119007,118851,124214,125219,127438,131358,131012,131623,134775,136813,121200
서울,교육 서비스업(85),여자,150427,156066,158336,167131,181586,181959,186921,190017,192285,209648,205016,210109,211444,214507,212966
서울,보건업 및 사회복지 서비스업(86~87),계,174243,185881,204345,216839,240424,252182,268892,286817,307277,320189,342572,358563,378366,400143,422929
서울,보건업 및 사회복지 서비스업(86~87),남자,47749,50162,55555,55069,57719,61422,62288,65047,67681,70124,73523,73846,78590,84052,86551
서울,보건업 및 사회복지 서비스업(86~87),여자,126494,135719,148790,161770,182705,190760,206604,221770,239596,250065,269049,284717,299776,316091,336378
서울,"예술, 스포츠 및 여가관련 서비스업(90~91)",계,65826,66968,69898,71311,73025,73561,74796,76465,77301,80444,83278,86452,91104,92752,76814
서울,"예술, 스포츠 및 여가관련 서비스업(90~91)",남자,39597,39606,41320,41613,41529,41548,42372,42708,42445,44707,45461,46830,48939,49265,41044
서울,"예술, 스포츠 및 여가관련 서비스업(90~91)",여자,26229,27362,28578,29698,31496,32013,32424,33757,34856,35737,37817,39622,42165,43487,35770
서울,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",계,172052,173221,175327,177141,180649,186393,190508,196513,196139,204730,192249,190963,191423,189557,173585
서울,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",남자,93386,93086,95822,93973,93912,95623,97853,99081,98711,100055,96223,93974,94014,92912,86189
서울,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",여자,78666,80135,79505,83168,86737,90770,92655,97432,97428,104675,96026,96989,97409,96645,87396
부산,전체 산업,계,1147243,1157853,1165574,1182236,1204764,1231887,1275945,1297862,1325781,1371843,1408615,1424317,1442115,1465433,1364302
부산,전체 산업,남자,654292,658704,660617,664833,677973,687674,714131,720071,734121,767956,777759,781000,785846,797445,745664
부산,전체 산업,여자,492951,499149,504957,517403,526791,544213,561814,577791,591660,603887,630856,643317,656269,667988,618638
부산,"농업, 임업 및 어업(01~03)",계,3068,3425,3297,2954,3420,3587,3895,3242,2761,3317,3235,3263,3827,3495,3698
부산,"농업, 임업 및 어업(01~03)",남자,2850,3260,3143,2784,3032,3212,3469,2741,2526,2910,2983,3018,3528,3228,3485
부산,"농업, 임업 및 어업(01~03)",여자,218,165,154,170,388,375,426,501,235,407,252,245,299,267,213
부산,광업(05~08),계,48,26,37,90,114,81,94,97,128,101,102,160,114,107,77
부산,광업(05~08),남자,43,21,30,69,103,72,81,82,115,88,85,141,95,91,65
부산,광업(05~08),여자,5,5,7,21,11,9,13,15,13,13,17,19,19,16,12
부산,제조업(10~34),계,195728,197315,194276,192595,197697,202545,209619,213846,220257,227632,224025,219037,216091,214649,202308
부산,제조업(10~34),남자,135414,137355,135764,134763,138762,141581,146928,150803,155788,161531,158311,154078,152637,153056,144663
부산,제조업(10~34),여자,60314,59960,58512,57832,58935,60964,62691,63043,64469,66101,65714,64959,63454,61593,57645
부산,"전기, 가스, 증기 및 공기조절 공급업(35)",계,3047,3125,3207,3278,3368,3798,3815,3996,4375,4423,4495,3678,3711,3927,3954
부산,"전기, 가스, 증기 및 공기조절 공급업(35)",남자,2719,2783,2743,2975,3034,3020,3416,3548,3755,3853,3884,3108,3146,3280,3377
부산,"전기, 가스, 증기 및 공기조절 공급업(35)",여자,328,342,464,303,334,778,399,448,620,570,611,570,565,647,577
부산,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",계,5955,6039,5870,5720,5809,5945,6114,6127,6240,6112,6305,6448,6518,6867,6903
부산,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",남자,4855,4972,4820,4731,4827,4856,5017,4932,5121,4924,5175,5236,5341,5697,5594
부산,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",여자,1100,1067,1050,989,982,1089,1097,1195,1119,1188,1130,1212,1177,1170,1309
부산,건설업(41~42),계,60609,60206,62693,56173,68304,69883,74243,70644,72136,90697,95576,99475,100385,102948,97240
부산,건설업(41~42),남자,53155,52502,55062,48787,59763,60664,64536,60535,61728,78282,81068,85562,85573,87486,83648
부산,건설업(41~42),여자,7454,7704,7631,7386,8541,9219,9707,10109,10408,12415,14508,13913,14812,15462,13592
부산,도매 및 소매업(45~47),계,218403,209108,206451,210210,204190,206818,212711,217667,223027,225788,229571,231875,232787,234742,205228
부산,도매 및 소매업(45~47),남자,111051,106456,105776,107944,105061,105834,109488,112146,115027,116980,117314,117140,117453,119180,109715
부산,도매 및 소매업(45~47),여자,107352,102652,100675,102266,99129,100984,103223,105521,108000,108808,112257,114735,115334,115562,95513
부산,운수 및 창고업(49~52),계,100575,104345,104079,105529,104590,104515,107464,105504,108139,109724,109787,110616,110705,110016,101983
부산,운수 및 창고업(49~52),남자,90704,93913,93898,95150,94573,93597,95895,93567,95512,97102,95484,96989,97132,96944,88954
부산,운수 및 창고업(49~52),여자,9871,10432,10181,10379,10017,10918,11569,11937,12627,12622,14303,13627,13573,13072,13029
부산,숙박 및 음식점업(55~56),계,132724,131182,132693,132433,131036,136307,140763,145181,148084,148805,155207,157538,162889,165099,137299
부산,숙박 및 음식점업(55~56),남자,39636,38892,39890,41302,41899,44835,47223,49211,50687,51414,53817,55615,58245,60580,51901
부산,숙박 및 음식점업(55~56),여자,93088,92290,92803,91131,89137,91472,93540,95970,97397,97391,101390,101923,104644,104519,85398
부산,정보통신업(58~63),계,15981,15081,15297,13311,13912,14152,14959,15113,14717,16108,16395,16534,17122,17072,17238
부산,정보통신업(58~63),남자,10649,10317,10375,9197,9862,9808,10436,10429,10147,11279,11128,11184,11598,11712,11889
부산,정보통신업(58~63),여자,5332,4764,4922,4114,4050,4344,4523,4684,4570,4829,5267,5350,5524,5360,5349
부산,금융 및 보험업(64~66),계,45480,49293,50775,52572,51665,52405,52988,50469,50947,51768,51013,51659,51295,51020,48316
부산,금융 및 보험업(64~66),남자,19058,20518,20808,22033,20176,20489,21039,19598,19951,21246,20105,19874,20683,19927,18371
부산,금융 및 보험업(64~66),여자,26422,28775,29967,30539,31489,31916,31949,30871,30996,30522,30908,31785,30612,31093,29945
부산,부동산업(68),계,26976,25517,26429,28373,28385,29086,30592,31660,31329,32004,35618,36047,36048,35748,33840
부산,부동산업(68),남자,19067,17480,17971,18360,17603,17115,18387,19414,19930,20014,21420,21420,22049,22237,20951
부산,부동산업(68),여자,7909,8037,8458,10013,10782,11971,12205,12246,11399,11990,14198,14627,13999,13511,12889
부산,"전문, 과학 및 기술 서비스업(70~73)",계,27207,29737,31741,32495,33038,34816,36211,39507,40056,43032,44496,43844,46485,48478,49722
부산,"전문, 과학 및 기술 서비스업(70~73)",남자,18253,19743,21030,22081,22049,23296,24265,25845,26449,28052,28668,28258,29855,31021,31912
부산,"전문, 과학 및 기술 서비스업(70~73)",여자,8954,9994,10711,10414,10989,11520,11946,13662,13607,14980,15828,15586,16630,17457,17810
부산,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",계,53250,57325,57572,61036,63306,66591,71445,74964,76393,79086,82732,84531,82742,85020,69964
부산,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",남자,30210,32597,33382,34125,35101,35750,39058,41833,40698,43064,45863,47024,45142,47527,38286
부산,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",여자,23040,24728,24190,26911,28205,30841,32387,33131,35695,36022,36869,37507,37600,37493,31678
부산,"공공행정, 국방 및 사회보장 행정(84)",계,36522,37995,39027,44440,42445,41715,41061,40770,39929,42397,42815,44449,45485,46187,47460
부산,"공공행정, 국방 및 사회보장 행정(84)",남자,27588,27919,28281,30477,30191,29911,28798,28032,27152,28490,28581,28711,29202,29033,29320
부산,"공공행정, 국방 및 사회보장 행정(84)",여자,8934,10076,10746,13963,12254,11804,12263,12738,12777,13907,14234,15738,16283,17154,18140
부산,교육 서비스업(85),계,89726,90991,90082,89939,95440,95180,97360,97410,99237,98479,101206,101774,102104,102349,98245
부산,교육 서비스업(85),남자,34959,34901,33616,34073,35829,35499,36388,36593,37381,36353,38031,37647,36682,36254,34734
부산,교육 서비스업(85),여자,54767,56090,56466,55866,59611,59681,60972,60817,61856,62126,63175,64127,65422,66095,63511
부산,보건업 및 사회복지 서비스업(86~87),계,55809,61023,66498,72711,81140,84739,91193,99538,105464,108047,122763,128997,136523,149854,161018
부산,보건업 및 사회복지 서비스업(86~87),남자,14378,15859,15385,16518,17640,18206,19068,20414,21278,22312,24807,24608,25568,28092,30165
부산,보건업 및 사회복지 서비스업(86~87),여자,41431,45164,51113,56193,63500,66533,72125,79124,84186,85735,97956,104389,110955,121762,130853
부산,"예술, 스포츠 및 여가관련 서비스업(90~91)",계,19779,19037,18949,19326,18934,19920,20862,21054,21340,21237,23124,24373,24700,24997,20491
부산,"예술, 스포츠 및 여가관련 서비스업(90~91)",남자,10550,9928,9768,10109,9658,10326,10742,10724,11127,10803,11639,12346,12396,12579,10544
부산,"예술, 스포츠 및 여가관련 서비스업(90~91)",여자,9229,9109,9181,9217,9276,9594,10120,10330,10213,10434,11485,12027,12304,12418,9947
부산,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",계,56356,57083,56601,59051,57971,59804,60556,61073,61222,63086,60150,60019,62584,62858,59318
부산,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",남자,29153,29288,28875,29355,28810,29603,29897,29624,29749,29259,29396,29041,29521,29521,28090
부산,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",여자,27203,27795,27726,29696,29161,30201,30659,31449,31473,33827,30754,30978,33063,33337,31228
대구,전체 산업,계,721257,732128,739022,766886,786487,809381,833833,849628,866593,895517,929078,943170,967206,967934,893590
대구,전체 산업,남자,412183,417157,419937,434135,445132,454962,464881,469422,478256,497786,508380,514961,523453,524858,484941
대구,전체 산업,여자,309074,314971,319085,332751,341355,354419,368952,380206,388337,397731,420698,428209,443753,443076,408649
대구,"농업, 임업 및 어업(01~03)",계,225,227,245,249,250,225,216,241,212,276,329,437,318,414,397
대구,"농업, 임업 및 어업(01~03)",남자,174,191,218,224,210,176,188,195,165,224,278,383,271,352,323
대구,"농업, 임업 및 어업(01~03)",여자,51,36,27,25,40,49,28,46,47,52,51,54,47,62,74
대구,광업(05~08),계,70,70,58,50,24,29,31,45,48,33,32,32,26,24,29
대구,광업(05~08),남자,56,54,53,44,20,25,28,40,43,30,27,25,17,21,23
대구,광업(05~08),여자,14,16,5,6,4,4,3,5,5,3,5,7,9,3,6
대구,제조업(10~34),계,148995,148642,145600,147999,155548,161698,168321,173573,176125,178781,179927,179147,176508,174311,161744
대구,제조업(10~34),남자,103356,103996,102264,103297,110135,114109,118645,121766,123951,126372,126031,126529,125140,123721,115628
대구,제조업(10~34),여자,45639,44646,43336,44702,45413,47589,49676,51807,52174,52409,53896,52618,51368,50590,46116
대구,"전기, 가스, 증기 및 공기조절 공급업(35)",계,1402,1352,1234,1295,1426,1613,1400,1367,2392,2702,2498,2568,2632,2613,2969
대구,"전기, 가스, 증기 및 공기조절 공급업(35)",남자,1199,1168,1058,1103,1262,1448,1226,1198,1987,2210,2078,2107,2113,2119,2418
대구,"전기, 가스, 증기 및 공기조절 공급업(35)",여자,203,184,176,192,164,165,174,169,405,492,420,461,519,494,551
대구,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",계,2919,3034,2885,2997,2974,3027,3083,3200,3387,3535,3621,3524,3763,4155,4150
대구,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",남자,2532,2614,2492,2555,2541,2595,2671,2773,2845,2978,3041,2949,3065,3324,3310
대구,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",여자,387,420,393,442,433,432,412,427,542,557,580,575,698,831,840
대구,건설업(41~42),계,36993,36068,35136,38976,42837,41663,41817,38871,42711,52817,57265,58807,60332,61491,59844
대구,건설업(41~42),남자,32403,31189,30945,33954,37474,36236,36569,33547,36807,45608,48933,50969,51537,52235,49335
대구,건설업(41~42),여자,4590,4879,4191,5022,5363,5427,5248,5324,5904,7209,8332,7838,8795,9256,10509
대구,도매 및 소매업(45~47),계,130208,130596,130432,132145,131259,134366,139316,141980,144491,146794,151124,153579,165411,154973,132909
대구,도매 및 소매업(45~47),남자,69715,70848,70043,70965,70885,71750,73979,75374,76937,78865,79633,79606,82782,81032,72338
대구,도매 및 소매업(45~47),여자,60493,59748,60389,61180,60374,62616,65337,66606,67554,67929,71491,73973,82629,73941,60571
대구,운수 및 창고업(49~52),계,41105,39096,40711,40698,44689,45147,44447,44416,45321,45911,46648,48080,47711,47975,43979
