"행정구역별","산업별","종사상지위별",2020,2021,2022,2023
"서울","금융 및 보험업(64~66)","자영업자,무급가족",6017,4939,4145,4051
"서울","금융 및 보험업(64~66)","상용종사자",239474,248949,247835,248538
"서울","금융 및 보험업(64~66)","임시 및 일용근로자",5677,5647,7589,6672
"서울","금융 및 보험업(64~66)","기타종사자",41936,39523,37304,34226
"서울","부동산업(68)","계",213544,205378,196379,193591
"서울","부동산업(68)","자영업자,무급가족",47979,46765,45779,44124
"서울","부동산업(68)","상용종사자",142986,144196,136647,138689
"서울","부동산업(68)","임시 및 일용근로자",17752,8911,9438,6640
"서울","부동산업(68)","기타종사자",4827,5506,4515,4138
"서울","전문, 과학 및 기술 서비스업(70~73)","계",590946,597759,605708,628504
"서울","전문, 과학 및 기술 서비스업(70~73)","자영업자,무급가족",49173,45966,44483,43126
"서울","전문, 과학 및 기술 서비스업(70~73)","상용종사자",493425,527707,528786,558845
"서울","전문, 과학 및 기술 서비스업(70~73)","임시 및 일용근로자",43681,20182,27322,20989
"서울","전문, 과학 및 기술 서비스업(70~73)","기타종사자",4667,3904,5117,5544
"서울","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","계",505800,492983,488351,524790
"서울","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","자영업자,무급가족",21087,18834,17262,16566
"서울","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","상용종사자",398068,391693,400811,434715
"서울","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","임시 및 일용근로자",66223,66780,54242,60567
"서울","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","기타종사자",20422,15676,16036,12942
"서울","공공행정, 국방 및 사회보장 행정(84)","계",150905,155790,160530,157992
"서울","공공행정, 국방 및 사회보장 행정(84)","자영업자,무급가족",0,0,0,0
"서울","공공행정, 국방 및 사회보장 행정(84)","상용종사자",142090,141830,145720,142477
"서울","공공행정, 국방 및 사회보장 행정(84)","임시 및 일용근로자",8471,13806,14439,14226
"서울","공공행정, 국방 및 사회보장 행정(84)","기타종사자",344,154,371,1289
"서울","교육 서비스업(85)","계",354237,361663,365167,364171
"서울","교육 서비스업(85)","자영업자,무급가족",37020,37422,37949,39778
"서울","교육 서비스업(85)","상용종사자",248752,258955,255498,254982
"서울","교육 서비스업(85)","임시 및 일용근로자",48288,36492,39124,35864
"서울","교육 서비스업(85)","기타종사자",20177,28794,32596,33547
"서울","보건업 및 사회복지 서비스업(86~87)","계",443245,450396,470395,486955
"서울","보건업 및 사회복지 서비스업(86~87)","자영업자,무급가족",20556,20664,21793,21790
"서울","보건업 및 사회복지 서비스업(86~87)","상용종사자",353891,364371,382585,389633
"서울","보건업 및 사회복지 서비스업(86~87)","임시 및 일용근로자",56600,50456,44242,51704
"서울","보건업 및 사회복지 서비스업(86~87)","기타종사자",12198,14905,21775,23828
"서울","예술, 스포츠 및 여가관련 서비스업(90~91)","계",88627,88491,90030,91995
"서울","예술, 스포츠 및 여가관련 서비스업(90~91)","자영업자,무급가족",28527,25829,25190,25276
"서울","예술, 스포츠 및 여가관련 서비스업(90~91)","상용종사자",40791,45251,44385,44329
"서울","예술, 스포츠 및 여가관련 서비스업(90~91)","임시 및 일용근로자",15352,13108,14577,15287
"서울","예술, 스포츠 및 여가관련 서비스업(90~91)","기타종사자",3957,4303,5878,7103
"서울","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","계",195171,186496,185909,183832
"서울","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","자영업자,무급가족",65765,61882,61912,61720
"서울","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","상용종사자",101461,103443,101738,99927
"서울","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","임시 및 일용근로자",17263,12232,12093,10883
"서울","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","기타종사자",10682,8939,10166,11302
"부산","전체 산업","계",1537281,1544504,1554664,1555085
"부산","전체 산업","자영업자,무급가족",373038,365003,363489,357944
"부산","전체 산업","상용종사자",889202,917803,918138,932825
"부산","전체 산업","임시 및 일용근로자",218305,195626,193941,197293
"부산","전체 산업","기타종사자",56736,66072,79096,67023
"부산","농업, 임업 및 어업(01~03)","계",3840,2757,2985,2915
"부산","농업, 임업 및 어업(01~03)","자영업자,무급가족",0,0,0,0
"부산","농업, 임업 및 어업(01~03)","상용종사자",2265,2024,2268,2271
"부산","농업, 임업 및 어업(01~03)","임시 및 일용근로자",1480,732,716,643
"부산","농업, 임업 및 어업(01~03)","기타종사자",95,1,1,1
"부산","광업(05~08)","계",83,85,41,32
"부산","광업(05~08)","자영업자,무급가족",5,6,4,4
"부산","광업(05~08)","상용종사자",76,65,37,28
"부산","광업(05~08)","임시 및 일용근로자",2,14,0,0
"부산","광업(05~08)","기타종사자",0,0,0,0
"부산","제조업(10~34)","계",216869,213028,210883,205191
"부산","제조업(10~34)","자영업자,무급가족",37847,35442,34834,31069
"부산","제조업(10~34)","상용종사자",165377,165651,163564,163190
"부산","제조업(10~34)","임시 및 일용근로자",12913,11512,12030,10549
"부산","제조업(10~34)","기타종사자",732,423,455,383
"부산","전기, 가스, 증기 및 공기조절 공급업(35)","계",4189,4130,4456,4428
"부산","전기, 가스, 증기 및 공기조절 공급업(35)","자영업자,무급가족",167,183,187,246
"부산","전기, 가스, 증기 및 공기조절 공급업(35)","상용종사자",3961,3916,4244,4139
"부산","전기, 가스, 증기 및 공기조절 공급업(35)","임시 및 일용근로자",60,28,24,39
"부산","전기, 가스, 증기 및 공기조절 공급업(35)","기타종사자",1,3,1,4
"부산","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","계",7419,7905,7853,7695
"부산","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","자영업자,무급가족",299,297,318,289
"부산","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","상용종사자",6784,7067,7017,6765
"부산","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","임시 및 일용근로자",301,456,486,627
"부산","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","기타종사자",35,85,32,14
"부산","건설업(41~42)","계",133675,123951,118404,115039
"부산","건설업(41~42)","자영업자,무급가족",21538,21996,22396,21822
"부산","건설업(41~42)","상용종사자",42816,42892,42570,42226
"부산","건설업(41~42)","임시 및 일용근로자",66803,56198,51630,48857
"부산","건설업(41~42)","기타종사자",2518,2865,1808,2134
"부산","도매 및 소매업(45~47)","계",246846,247220,241934,240302
"부산","도매 및 소매업(45~47)","자영업자,무급가족",108048,106508,104932,104566
"부산","도매 및 소매업(45~47)","상용종사자",108904,114622,110927,110536
"부산","도매 및 소매업(45~47)","임시 및 일용근로자",22877,18008,18269,17788
"부산","도매 및 소매업(45~47)","기타종사자",7017,8082,7806,7412
"부산","운수 및 창고업(49~52)","계",127783,131749,133110,132691
"부산","운수 및 창고업(49~52)","자영업자,무급가족",46293,46133,46238,47674
"부산","운수 및 창고업(49~52)","상용종사자",67568,64273,66042,65235
"부산","운수 및 창고업(49~52)","임시 및 일용근로자",6248,6778,6023,6021
"부산","운수 및 창고업(49~52)","기타종사자",7674,14565,14807,13761
"부산","숙박 및 음식점업(55~56)","계",141053,142912,153289,158094
"부산","숙박 및 음식점업(55~56)","자영업자,무급가족",71566,68571,68151,66402
"부산","숙박 및 음식점업(55~56)","상용종사자",38604,42889,47027,51189
"부산","숙박 및 음식점업(55~56)","임시 및 일용근로자",29885,30836,37566,39631
"부산","숙박 및 음식점업(55~56)","기타종사자",998,616,545,872
"부산","정보통신업(58~63)","계",20517,21361,21702,22775
"부산","정보통신업(58~63)","자영업자,무급가족",2230,2346,2501,2598
"부산","정보통신업(58~63)","상용종사자",16945,17621,17820,18829
"부산","정보통신업(58~63)","임시 및 일용근로자",1069,1065,1091,1100
"부산","정보통신업(58~63)","기타종사자",273,329,290,248
"부산","금융 및 보험업(64~66)","계",49906,50922,49857,50197
"부산","금융 및 보험업(64~66)","자영업자,무급가족",1339,1263,1071,1095
"부산","금융 및 보험업(64~66)","상용종사자",28333,28753,27556,28168
"부산","금융 및 보험업(64~66)","임시 및 일용근로자",882,702,999,617
"부산","금융 및 보험업(64~66)","기타종사자",19352,20204,20231,20317
"부산","부동산업(68)","계",44630,47738,47341,46384
"부산","부동산업(68)","자영업자,무급가족",10681,10738,10786,10408
"부산","부동산업(68)","상용종사자",28237,31924,31711,32135
"부산","부동산업(68)","임시 및 일용근로자",3977,2762,2688,1951
"부산","부동산업(68)","기타종사자",1735,2314,2156,1890
"부산","전문, 과학 및 기술 서비스업(70~73)","계",57503,58661,58659,59574
"부산","전문, 과학 및 기술 서비스업(70~73)","자영업자,무급가족",8852,8807,8761,8496
"부산","전문, 과학 및 기술 서비스업(70~73)","상용종사자",44419,46636,47067,48460
"부산","전문, 과학 및 기술 서비스업(70~73)","임시 및 일용근로자",3616,2368,2325,2090
"부산","전문, 과학 및 기술 서비스업(70~73)","기타종사자",616,850,506,528
"부산","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","계",79998,78673,77706,78448
"부산","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","자영업자,무급가족",7491,6501,6296,5978
"부산","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","상용종사자",58990,58687,53041,56906
"부산","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","임시 및 일용근로자",11469,11450,15462,12909
"부산","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","기타종사자",2048,2035,2907,2655
"부산","공공행정, 국방 및 사회보장 행정(84)","계",47845,50384,51659,51003
"부산","공공행정, 국방 및 사회보장 행정(84)","자영업자,무급가족",0,0,0,0
"부산","공공행정, 국방 및 사회보장 행정(84)","상용종사자",42671,43054,46666,45790
"부산","공공행정, 국방 및 사회보장 행정(84)","임시 및 일용근로자",5086,7214,4947,5137
"부산","공공행정, 국방 및 사회보장 행정(84)","기타종사자",88,116,46,76
"부산","교육 서비스업(85)","계",102424,104539,105593,104913
"부산","교육 서비스업(85)","자영업자,무급가족",13584,14115,14614,15220
"부산","교육 서비스업(85)","상용종사자",72761,73379,73946,71567
"부산","교육 서비스업(85)","임시 및 일용근로자",11083,10840,11372,10697
"부산","교육 서비스업(85)","기타종사자",4996,6205,5661,7429
"부산","보건업 및 사회복지 서비스업(86~87)","계",166675,176077,184789,190746
"부산","보건업 및 사회복지 서비스업(86~87)","자영업자,무급가족",5980,6000,6358,6346
"부산","보건업 및 사회복지 서비스업(86~87)","상용종사자",126991,139626,142069,149742
"부산","보건업 및 사회복지 서비스업(86~87)","임시 및 일용근로자",31848,27403,19904,30652
"부산","보건업 및 사회복지 서비스업(86~87)","기타종사자",1856,3048,16458,4006
"부산","예술, 스포츠 및 여가관련 서비스업(90~91)","계",22039,22726,24790,25159
"부산","예술, 스포츠 및 여가관련 서비스업(90~91)","자영업자,무급가족",8450,8104,8020,7891
"부산","예술, 스포츠 및 여가관련 서비스업(90~91)","상용종사자",8255,9373,9453,10606
"부산","예술, 스포츠 및 여가관련 서비스업(90~91)","임시 및 일용근로자",4327,4016,5305,4977
"부산","예술, 스포츠 및 여가관련 서비스업(90~91)","기타종사자",1007,1233,2012,1685
"부산","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","계",63987,59686,59613,59499
"부산","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","자영업자,무급가족",28668,27993,28022,27840
"부산","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","상용종사자",25245,25351,25113,25043
"부산","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","임시 및 일용근로자",4379,3244,3104,3008
"부산","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","기타종사자",5695,3098,3374,3608
"대구","전체 산업","계",1010557,1004563,1014987,1028785
"대구","전체 산업","자영업자,무급가족",268857,261697,260061,260477
"대구","전체 산업","상용종사자",581851,597103,599085,615398
"대구","전체 산업","임시 및 일용근로자",126965,107699,114141,110688
"대구","전체 산업","기타종사자",32884,38064,41700,42222
"대구","농업, 임업 및 어업(01~03)","계",466,389,393,575
"대구","농업, 임업 및 어업(01~03)","자영업자,무급가족",0,0,0,0
"대구","농업, 임업 및 어업(01~03)","상용종사자",327,257,261,413
"대구","농업, 임업 및 어업(01~03)","임시 및 일용근로자",138,131,128,159
"대구","농업, 임업 및 어업(01~03)","기타종사자",1,1,4,3
"대구","광업(05~08)","계",31,23,19,84
"대구","광업(05~08)","자영업자,무급가족",3,2,2,2
"대구","광업(05~08)","상용종사자",21,17,17,81
"대구","광업(05~08)","임시 및 일용근로자",7,4,0,1
"대구","광업(05~08)","기타종사자",0,0,0,0
"대구","제조업(10~34)","계",173382,169828,169297,164964
"대구","제조업(10~34)","자영업자,무급가족",33956,31698,30968,27686
"대구","제조업(10~34)","상용종사자",130534,131071,131383,130603
"대구","제조업(10~34)","임시 및 일용근로자",8251,6599,6442,6317
"대구","제조업(10~34)","기타종사자",641,460,504,358
"대구","전기, 가스, 증기 및 공기조절 공급업(35)","계",3626,3308,3391,4014
"대구","전기, 가스, 증기 및 공기조절 공급업(35)","자영업자,무급가족",398,433,480,1084
"대구","전기, 가스, 증기 및 공기조절 공급업(35)","상용종사자",3182,2813,2875,2906
"대구","전기, 가스, 증기 및 공기조절 공급업(35)","임시 및 일용근로자",42,57,36,21
"대구","전기, 가스, 증기 및 공기조절 공급업(35)","기타종사자",4,5,0,3
"대구","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","계",4436,4488,4498,4670
"대구","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","자영업자,무급가족",209,202,202,212
"대구","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","상용종사자",3961,4086,4069,4283
"대구","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","임시 및 일용근로자",240,178,205,173
"대구","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","기타종사자",26,22,22,2
"대구","건설업(41~42)","계",87039,75353,75231,73138
"대구","건설업(41~42)","자영업자,무급가족",16326,16529,16645,16920
"대구","건설업(41~42)","상용종사자",28853,29597,28699,30176
"대구","건설업(41~42)","임시 및 일용근로자",40743,28099,28394,24858
"대구","건설업(41~42)","기타종사자",1117,1128,1493,1184
"대구","도매 및 소매업(45~47)","계",161985,159185,155393,155834
"대구","도매 및 소매업(45~47)","자영업자,무급가족",76534,73287,71949,72698
"대구","도매 및 소매업(45~47)","상용종사자",66376,70480,67581,68769
"대구","도매 및 소매업(45~47)","임시 및 일용근로자",14540,11407,11922,11025
"대구","도매 및 소매업(45~47)","기타종사자",4535,4011,3941,3342
"대구","운수 및 창고업(49~52)","계",55003,56222,56927,59657
"대구","운수 및 창고업(49~52)","자영업자,무급가족",28540,30217,30773,33159
"대구","운수 및 창고업(49~52)","상용종사자",20473,18492,18123,18679
"대구","운수 및 창고업(49~52)","임시 및 일용근로자",2040,1063,1649,1173
"대구","운수 및 창고업(49~52)","기타종사자",3950,6450,6382,6646
"대구","숙박 및 음식점업(55~56)","계",88027,88808,92541,97701
"대구","숙박 및 음식점업(55~56)","자영업자,무급가족",48246,46142,45620,45235
"대구","숙박 및 음식점업(55~56)","상용종사자",20772,23614,25201,28442
"대구","숙박 및 음식점업(55~56)","임시 및 일용근로자",18731,18802,21513,23774
"대구","숙박 및 음식점업(55~56)","기타종사자",278,250,207,250
"대구","정보통신업(58~63)","계",15655,16564,16931,16924
"대구","정보통신업(58~63)","자영업자,무급가족",1576,1654,1777,1747
"대구","정보통신업(58~63)","상용종사자",12868,13988,13912,14343
"대구","정보통신업(58~63)","임시 및 일용근로자",1020,709,1146,683
